time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.000000,0.000000,4.000000,-0.000225,1.000000,-0.000000,0.000000
0.002,0.000000,0.000000,4.000000,-0.014520,1.000000,-0.000000,0.000000
0.003,0.000000,0.000000,4.000000,-0.020736,1.000000,-0.000000,0.000000
0.004,0.000000,0.000000,4.000000,-0.019145,1.000000,-0.000000,0.000000
0.005,0.000000,0.000000,4.000000,-0.018496,1.000000,-0.000000,0.000000
0.006,0.000000,0.000000,4.000000,-0.024212,1.000000,-0.000000,0.000000
0.007,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.008,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.009,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.010,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.011,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.012,0.000000,0.000000,4.000000,-0.022926,1.000000,-0.000000,0.000000
0.013,0.000000,0.000000,4.000000,-0.014298,1.000000,-0.000000,0.000000
0.014,0.000000,0.000000,4.000000,0.005710,1.000000,-0.000000,0.000000
0.015,0.000000,0.000000,4.000000,-0.016988,1.000000,-0.000000,0.000000
0.016,0.000000,0.000000,4.000000,-0.035460,1.000000,-0.000000,0.000000
0.017,0.000000,0.000000,4.000000,-0.032761,1.000000,-0.000000,0.000000
0.018,0.000000,0.000000,4.000000,-0.024118,1.000000,-0.000000,0.000000
0.019,0.000000,0.000000,4.000000,-0.015447,1.000000,-0.000000,0.000000
0.020,0.000000,0.000000,4.000000,0.003587,1.000000,-0.000000,0.000000
0.021,0.000000,0.000000,4.000000,0.026512,1.000000,-0.000000,0.000000
0.022,0.000000,0.000000,4.000000,0.033990,1.000000,-0.000000,0.000000
0.023,0.000000,0.000000,4.000000,0.034245,1.000000,-0.000000,0.000000
0.024,0.000000,0.000000,4.000000,0.016602,1.000000,-0.000000,0.000000
0.025,0.000000,0.000000,4.000000,0.006476,1.000000,-0.000000,0.000000
0.026,0.000000,0.000000,4.000000,0.016472,1.000000,-0.000000,0.000000
0.027,0.000000,0.000000,4.000000,0.031494,1.000000,-0.000000,0.000000
0.028,0.000000,0.000000,4.000000,0.013213,1.000000,-0.000000,0.000000
0.029,0.000000,0.000000,4.000000,0.007597,1.000000,-0.000000,0.000000
0.030,0.000000,0.000000,4.000000,0.017452,1.000000,-0.000000,0.000000
0.031,0.000000,0.000000,4.000000,0.019785,1.000000,-0.000000,0.000000
0.032,0.000000,0.000000,4.000000,0.028108,1.000000,-0.000000,0.000000
0.033,0.000000,0.000000,4.000000,0.041669,1.000000,-0.000000,0.000000
0.034,0.000000,0.000000,4.000000,0.039548,1.000000,-0.000000,0.000000
0.035,0.000000,0.000000,4.000000,0.020255,1.000000,-0.000000,0.000000
0.036,0.000000,0.000000,4.000000,-0.002897,1.000000,-0.000000,0.000000
0.037,0.000000,0.000000,4.000000,-0.010573,1.000000,-0.000000,0.000000
0.038,0.000000,0.000000,4.000000,-0.004718,1.000000,-0.000000,0.000000
0.039,0.000000,0.000000,4.000000,0.015864,1.000000,-0.000000,0.000000
