time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,8.903421,0.058763,4.000000,0.001155,-6.600000,89034.211090,23798.844624
0.002,17.144911,0.113156,4.000000,0.002740,-4.251618,82414.900155,21448.877833
0.003,24.762689,0.163434,4.000000,-0.008440,-2.133029,76177.781490,19341.469112
0.004,31.788334,0.209803,4.000000,-0.014197,-0.220815,70256.448574,17435.012115
0.005,38.257334,0.252498,4.000000,-0.023249,1.504441,64690.001451,15718.808583
0.006,44.195897,0.291693,4.000000,-0.013741,3.061167,59385.623644,14152.573951
0.007,49.635185,0.327592,4.000000,0.002282,4.463892,54392.878907,12733.825743
0.008,54.612213,0.360441,4.000000,0.010009,5.726941,49770.279938,11463.049875
0.009,59.159696,0.390454,4.000000,0.016764,6.864731,45474.837532,10318.504722
0.010,63.311779,0.417858,4.000000,0.016764,7.889575,41520.832196,9293.660836
0.011,67.103208,0.442881,4.000000,0.005474,8.813177,37914.284845,8381.349633
0.012,70.550474,0.465633,4.000000,0.019082,9.646563,34472.657022,7534.354639
0.013,73.684464,0.486317,4.000000,0.024698,10.396116,31339.903966,6779.186407
0.014,76.534015,0.505124,4.000000,0.022913,11.070858,28495.510136,6106.229549
0.015,79.111790,0.522138,4.000000,0.044295,11.678878,25777.749321,5476.827387
0.016,81.452620,0.537587,4.000000,0.040458,12.224449,23408.297466,4935.093042
0.017,83.575041,0.551595,4.000000,0.040455,12.716229,21224.208901,4443.315999
0.018,85.499712,0.564298,4.000000,0.037101,13.159149,19246.709414,4003.749627
0.019,87.246960,0.575830,4.000000,0.027886,13.558370,17472.479922,3613.743720
0.020,88.835177,0.586312,4.000000,0.013545,13.918799,15882.172338,3267.655349
0.021,90.274834,0.595814,4.000000,0.007290,14.244788,14396.567442,2947.922308
0.022,91.572615,0.604379,4.000000,0.015099,14.538944,12977.809479,2645.956906
0.023,92.742416,0.612100,4.000000,0.021215,14.803025,11698.010474,2375.759755
0.024,93.796501,0.619057,4.000000,0.026562,15.040185,10540.857225,2133.252836
0.025,94.742918,0.625303,4.000000,0.037521,15.253173,9464.168721,1909.305941
0.026,95.598734,0.630952,4.000000,0.034536,15.443833,8558.154219,1721.631053
0.027,96.382103,0.636122,4.000000,0.012374,15.615775,7833.690089,1571.850862
0.028,97.088798,0.640786,4.000000,0.012549,15.772776,7066.956543,1414.675178
0.029,97.729318,0.645013,4.000000,0.006419,15.914094,6405.197071,1279.487558
0.030,98.306493,0.648823,4.000000,0.007342,16.041919,5771.749541,1150.738187
0.031,98.826495,0.652255,4.000000,0.008150,16.156894,5200.020393,1034.956517
0.032,99.295000,0.655347,4.000000,0.008683,16.260309,4685.045570,931.007917
0.033,99.713791,0.658111,4.000000,0.015605,16.353344,4187.918628,831.050437
0.034,100.091321,0.660603,4.000000,0.015375,16.436397,3775.293800,748.228533
0.035,100.431606,0.662849,4.000000,0.015173,16.511177,3402.848858,673.649968
0.036,100.731927,0.664831,4.000000,0.027562,16.578508,3003.216474,593.929531
0.037,100.998558,0.666590,4.000000,0.035300,16.637874,2666.303593,526.825267
0.038,101.236916,0.668164,4.000000,0.038878,16.690536,2383.580768,470.586520
0.039,101.446830,0.669549,4.000000,0.048289,16.737578,2099.140809,414.133754
0.040,101.634892,0.670790,4.000000,0.050234,16.778978,1880.617326,370.788278
0.041,101.809762,0.671944,4.000000,0.039368,16.816046,1748.705001,344.585575
0.042,101.963914,0.672962,4.000000,0.045905,16.850496,1541.517298,303.599539
0.043,102.095194,0.673828,4.000000,0.060716,16.880849,1312.805318,258.435512
0.044,102.213201,0.674607,4.000000,0.061099,16.906687,1180.067170,232.213545
0.045,102.319276,0.675307,4.000000,0.061435,16.929904,1060.752806,208.660989
