time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.434317,0.002866,8.000000,-0.047083,-14.611800,4343.172304,500.988834
0.002,0.868389,0.005731,8.000000,-0.047083,-14.561712,4340.714913,500.487954
0.003,1.302215,0.008595,8.000000,-0.047083,-14.511674,4338.257845,499.987575
0.004,1.735655,0.011455,8.000000,-0.030985,-14.461686,4334.403664,499.326710
0.005,2.168686,0.014313,8.000000,-0.012179,-14.411764,4330.314260,498.639430
0.006,2.601490,0.017170,8.000000,-0.014259,-14.361911,4328.039329,498.161703
0.007,3.034119,0.020025,8.000000,-0.022361,-14.312106,4326.288179,497.744671
0.008,3.466440,0.022879,8.000000,-0.015133,-14.262342,4323.204524,497.174755
0.009,3.898514,0.025730,8.000000,-0.015133,-14.212635,4320.749799,496.677687
0.010,4.330344,0.028580,8.000000,-0.015133,-14.162978,4318.295406,496.181117
0.011,4.761943,0.031429,8.000000,-0.016843,-14.113371,4315.990164,495.702135
0.012,5.193297,0.034276,8.000000,-0.016843,-14.063811,4313.536422,495.206540
0.013,5.624405,0.037121,8.000000,-0.016843,-14.014301,4311.083016,494.711440
0.014,6.055273,0.039965,8.000000,-0.017463,-13.964841,4308.684007,494.223036
0.015,6.485905,0.042807,8.000000,-0.018379,-13.915429,4306.311235,493.738087
0.016,6.916257,0.045647,8.000000,-0.014535,-13.866066,4303.523400,493.206014
0.017,7.346215,0.048485,8.000000,0.002530,-13.816756,4299.581695,492.542262
0.018,7.775798,0.051320,8.000000,0.017451,-13.767512,4295.827181,491.900618
0.019,8.205186,0.054154,8.000000,0.011647,-13.718333,4293.883312,491.466861
0.020,8.634374,0.056987,8.000000,0.006572,-13.669197,4291.876188,491.026245
0.021,9.063279,0.059818,8.000000,0.010823,-13.620105,4289.054143,490.492821
0.022,9.491940,0.062647,8.000000,0.010823,-13.571066,4286.604163,490.002433
0.023,9.920355,0.065474,8.000000,0.010823,-13.522076,4284.154531,489.512536
0.024,10.348525,0.068300,8.000000,0.010823,-13.473135,4281.705250,489.023128
0.025,10.776540,0.071125,8.000000,0.000716,-13.424244,4280.141608,488.635277
0.026,11.203963,0.073946,8.000000,0.040147,-13.375391,4274.237522,487.752437
0.027,11.631218,0.076766,8.000000,0.031491,-13.326626,4272.548524,487.351348
0.028,12.058240,0.079584,8.000000,0.030206,-13.277901,4270.213621,486.876951
0.029,12.485026,0.082401,8.000000,0.029082,-13.229224,4267.864938,486.401413
0.030,12.911687,0.085217,8.000000,0.015534,-13.180594,4266.607337,486.050602
0.031,13.338098,0.088031,8.000000,0.016094,-13.131999,4264.111385,485.559051
0.032,13.764314,0.090844,8.000000,0.010461,-13.083454,4262.159941,485.129929
0.033,14.190273,0.093656,8.000000,0.011819,-13.034951,4259.594524,484.631325
0.034,14.615978,0.096465,8.000000,0.013006,-12.986498,4257.044439,484.134925
0.035,15.041663,0.099275,8.000000,-0.012612,-12.938095,4256.852687,483.907073
0.036,15.467122,0.102083,8.000000,-0.014638,-12.889715,4254.585693,483.443529
0.037,15.892206,0.104889,8.000000,0.000101,-12.841381,4250.842998,482.812790
0.038,16.316967,0.107692,8.000000,0.009044,-12.793110,4247.610921,482.240653
0.039,16.741581,0.110494,8.000000,-0.001986,-12.744896,4246.139009,481.868821
0.040,17.165980,0.113295,8.000000,-0.005348,-12.696719,4243.991636,481.420667
0.041,17.590106,0.116095,8.000000,-0.002003,-12.648587,4241.253330,480.905906
0.042,18.014091,0.118893,8.000000,-0.013793,-12.600507,4239.850599,480.543000
0.043,18.437848,0.121690,8.000000,-0.015671,-12.552463,4237.573596,480.081335
0.044,18.861376,0.124485,8.000000,-0.017312,-12.504465,4235.276175,479.617772
0.045,19.284672,0.127279,8.000000,-0.018748,-12.456513,4232.960941,479.152609
0.046,19.707624,0.130070,8.000000,-0.007436,-12.408608,4229.519558,478.560444
0.047,20.130223,0.132859,8.000000,0.004818,-12.360762,4225.994946,477.959445
0.048,20.552671,0.135648,8.000000,-0.005682,-12.312976,4224.483068,477.586582
0.049,20.974957,0.138435,8.000000,-0.014862,-12.265228,4222.855060,477.200897
0.050,21.397014,0.141220,8.000000,-0.016605,-12.217518,4220.569272,476.741229
0.051,21.818896,0.144005,8.000000,-0.024413,-12.169854,4218.820986,476.342663
0.052,22.240432,0.146787,8.000000,-0.012864,-12.122229,4215.358258,475.750937
0.053,22.661741,0.149567,8.000000,-0.014859,-12.074664,4213.096090,475.295229
0.054,23.082823,0.152347,8.000000,-0.016602,-12.027145,4210.812129,474.837471
0.055,23.503618,0.155124,8.000000,-0.011844,-11.979671,4207.951732,474.315148
0.056,23.924300,0.157900,8.000000,-0.026533,-11.932249,4206.817651,473.987822
0.057,24.344679,0.160675,8.000000,-0.019979,-11.884861,4203.798105,473.448392
0.058,24.764881,0.163448,8.000000,-0.027362,-11.837526,4202.016852,473.048879
0.059,25.184788,0.166220,8.000000,-0.021633,-11.790231,4199.070921,472.518641
0.060,25.604515,0.168990,8.000000,-0.028809,-11.742989,4197.272489,472.117977
0.061,26.023999,0.171758,8.000000,-0.028800,-11.695787,4194.835586,471.645865
0.062,26.443239,0.174525,8.000000,-0.028791,-11.648632,4192.399178,471.174236
0.063,26.862235,0.177291,8.000000,-0.028778,-11.601525,4189.962701,470.703027
0.064,27.280876,0.180054,8.000000,-0.016206,-11.554464,4186.408257,470.106705
0.065,27.699343,0.182816,8.000000,-0.024064,-11.507463,4184.673968,469.715272
0.066,28.117461,0.185575,8.000000,-0.012084,-11.460502,4181.172247,469.125861
0.067,28.535241,0.188333,8.000000,-0.001610,-11.413599,4177.804878,468.552093
0.068,28.952835,0.191089,8.000000,-0.007999,-11.366754,4175.941857,468.147526
0.069,29.370265,0.193844,8.000000,-0.016888,-11.319949,4174.302489,467.768365
0.070,29.787578,0.196598,8.000000,-0.030943,-11.273181,4173.124938,467.441245
0.071,30.204701,0.199351,8.000000,-0.036949,-11.226447,4171.229189,467.033958
0.072,30.621669,0.202103,8.000000,-0.046791,-11.179753,4169.676764,466.665443
0.073,31.038373,0.204853,8.000000,-0.044522,-11.133097,4167.042379,466.176185
0.074,31.454760,0.207601,8.000000,-0.036255,-11.086489,4163.871973,465.627435
0.075,31.870839,0.210348,8.000000,-0.028990,-11.039936,4160.791447,465.089256
0.076,32.286731,0.213092,8.000000,-0.035241,-10.993436,4158.920840,464.686774
0.077,32.702429,0.215836,8.000000,-0.040707,-10.946977,4156.980445,464.276840
0.078,33.117927,0.218578,8.000000,-0.045485,-10.900559,4154.979060,463.860447
0.079,33.533163,0.221319,8.000000,-0.043380,-10.854183,4152.361335,463.375633
0.080,33.948175,0.224058,8.000000,-0.045424,-10.807855,4150.115923,462.932794
0.081,34.362925,0.226795,8.000000,-0.043327,-10.761571,4147.499552,462.448985
0.082,34.777416,0.229531,8.000000,-0.041493,-10.715336,4144.907196,461.968294
0.083,35.191644,0.232265,8.000000,-0.039278,-10.669149,4142.280943,461.484266
0.084,35.605713,0.234998,8.000000,-0.048571,-10.623010,4140.688539,461.115812
0.085,36.019516,0.237729,8.000000,-0.046079,-10.576908,4138.037944,460.629864
0.086,36.433114,0.240459,8.000000,-0.050182,-10.530854,4135.980545,460.210367
0.087,36.846502,0.243187,8.000000,-0.053770,-10.484843,4133.877289,459.786132
0.088,37.259675,0.245914,8.000000,-0.056907,-10.438874,4131.733975,459.357812
0.089,37.672646,0.248639,8.000000,-0.061259,-10.392948,4129.700428,458.942064
0.090,38.085336,0.251363,8.000000,-0.057172,-10.347063,4126.907746,458.442346
0.091,38.497866,0.254086,8.000000,-0.066165,-10.301228,4125.293348,458.073926
0.092,38.910110,0.256807,8.000000,-0.061461,-10.255430,4122.445591,457.568911
0.093,39.322132,0.259526,8.000000,-0.063632,-10.209683,4120.217748,457.133143
0.094,39.733872,0.262244,8.000000,-0.059246,-10.163979,4117.399233,456.632251
0.095,40.145370,0.264959,8.000000,-0.059246,-10.118325,4114.976633,456.175713
0.096,40.556625,0.267674,8.000000,-0.059246,-10.072717,4112.554461,455.719631
0.097,40.967638,0.270386,8.000000,-0.059246,-10.027154,4110.132719,455.264005
0.098,41.378289,0.273097,8.000000,-0.045914,-9.981637,4106.507220,454.675506
0.099,41.788661,0.275805,8.000000,-0.041867,-9.936179,4103.720959,454.180461
0.100,42.198719,0.278512,8.000000,-0.033934,-9.890770,4100.583675,453.647039
0.101,42.608416,0.281216,8.000000,-0.020714,-9.845415,4096.968633,453.061288
0.102,43.017994,0.283919,8.000000,-0.034288,-9.800118,4095.777689,452.744062
0.103,43.427324,0.286620,8.000000,-0.033590,-9.754853,4093.295793,452.284432
0.104,43.836401,0.289320,8.000000,-0.032447,-9.709634,4090.773957,451.820803
0.105,44.245232,0.292019,8.000000,-0.031980,-9.664461,4088.313880,451.364410
0.106,44.653761,0.294715,8.000000,-0.025289,-9.619333,4085.290202,450.846227
0.107,45.062053,0.297410,8.000000,-0.025722,-9.574258,4082.912627,450.399802
0.108,45.470049,0.300102,8.000000,-0.019818,-9.529227,4079.960760,449.890448
0.109,45.877815,0.302794,8.000000,-0.021128,-9.484247,4077.663830,449.453757
0.110,46.285520,0.305484,8.000000,-0.040934,-9.439311,4077.045983,449.202449
0.111,46.693083,0.308174,8.000000,-0.051967,-9.394400,4075.632495,448.863672
0.112,47.100378,0.310862,8.000000,-0.049048,-9.349523,4072.952256,448.385705
0.113,47.507352,0.313549,8.000000,-0.040212,-9.304693,4069.734772,447.849053
0.114,47.914059,0.316233,8.000000,-0.037509,-9.259918,4067.075065,447.374262
0.115,48.320515,0.318915,8.000000,-0.036406,-9.215189,4064.561335,446.915953
0.116,48.726779,0.321597,8.000000,-0.041725,-9.170507,4062.632308,446.522320
0.117,49.132843,0.324277,8.000000,-0.046376,-9.125864,4060.642999,446.122395
0.118,49.538760,0.326956,8.000000,-0.056725,-9.081260,4059.173152,445.779859
0.119,49.944376,0.329633,8.000000,-0.050133,-9.036692,4056.160605,445.268241
0.120,50.349751,0.332308,8.000000,-0.050133,-8.992174,4053.749199,444.823063
0.121,50.754885,0.334982,8.000000,-0.050133,-8.947700,4051.338250,444.378330
0.122,51.159778,0.337655,8.000000,-0.050133,-8.903272,4048.927757,443.934042
0.123,51.564616,0.340326,8.000000,-0.070512,-8.858887,4048.377160,443.693988
0.124,51.969164,0.342996,8.000000,-0.065262,-8.814527,4045.488027,443.197885
0.125,52.373430,0.345665,8.000000,-0.060672,-8.770216,4042.659494,442.708876
0.126,52.777494,0.348331,8.000000,-0.064926,-8.725954,4040.639319,442.308801
0.127,53.181276,0.350996,8.000000,-0.060378,-8.681732,4037.815231,441.821102
0.128,53.584780,0.353660,8.000000,-0.056402,-8.637559,4035.043770,441.339606
0.129,53.988127,0.356322,8.000000,-0.065491,-8.593434,4033.467772,440.989252
0.130,54.391306,0.358983,8.000000,-0.073439,-8.549344,4031.787899,440.627825
0.131,54.794097,0.361641,8.000000,-0.057416,-8.505290,4027.914442,440.027056
0.132,55.196615,0.364298,8.000000,-0.053812,-8.461296,4025.178402,439.551076
0.133,55.598892,0.366953,8.000000,-0.053812,-8.417350,4022.772946,439.111613
0.134,56.000933,0.369606,8.000000,-0.054188,-8.373447,4020.402481,438.676356
0.135,56.402761,0.372258,8.000000,-0.057273,-8.329589,4018.280771,438.268614
0.136,56.804503,0.374910,8.000000,-0.074105,-8.285771,4017.420519,437.998752
0.137,57.206067,0.377560,8.000000,-0.080970,-8.241979,4015.646509,437.629491
0.138,57.607389,0.380209,8.000000,-0.080689,-8.198225,4013.217140,437.189141
0.139,58.008410,0.382856,8.000000,-0.074160,-8.154515,4010.214478,436.686752
0.140,58.409139,0.385500,8.000000,-0.068452,-8.110855,4007.287543,436.193070
0.141,58.809650,0.388144,8.000000,-0.070874,-8.067245,4005.108207,435.781184
0.142,59.209930,0.390786,8.000000,-0.071862,-8.023675,4002.797531,435.355368
0.143,59.609977,0.393426,8.000000,-0.072725,-7.980148,4000.475935,434.928737
0.144,60.009734,0.396064,8.000000,-0.067197,-7.936664,3997.566689,434.438615
0.145,60.409251,0.398701,8.000000,-0.067197,-7.893229,3995.166696,434.004263
0.146,60.808527,0.401336,8.000000,-0.067197,-7.849837,3992.767186,433.570346
0.147,61.207564,0.403970,8.000000,-0.067197,-7.806489,3990.368159,433.136862
0.148,61.606437,0.406602,8.000000,-0.075451,-7.763184,3988.730286,432.786346
0.149,62.005016,0.409233,8.000000,-0.069580,-7.719914,3985.790809,432.294941
0.150,62.403366,0.411862,8.000000,-0.070731,-7.676693,3983.499302,431.874236
0.151,62.801494,0.414490,8.000000,-0.072616,-7.633514,3981.276112,431.461300
0.152,63.199389,0.417116,8.000000,-0.073385,-7.590377,3978.950395,431.037614
0.153,63.597051,0.419741,8.000000,-0.074057,-7.547281,3976.616257,430.613385
0.154,63.994420,0.422363,8.000000,-0.068362,-7.504229,3973.694348,430.125903
0.155,64.391562,0.424984,8.000000,-0.069665,-7.461225,3971.419674,429.708898
0.156,64.788535,0.427604,8.000000,-0.077295,-7.418262,3969.730433,429.355573
