time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.180254,0.001190,10.000000,0.359577,-45.467800,1802.541686,1209.082235
0.002,0.360523,0.002379,10.000000,0.359642,-45.346957,1802.687737,1207.873149
0.003,0.540815,0.003569,10.000000,0.353807,-45.226235,1802.922119,1206.724280
0.004,0.721111,0.004759,10.000000,0.361272,-45.105628,1802.957948,1205.443563
0.005,0.901421,0.005949,10.000000,0.361272,-44.985149,1803.105464,1204.238771
0.006,1.081746,0.007140,10.000000,0.361728,-44.864790,1803.246316,1203.030623
0.007,1.262087,0.008330,10.000000,0.360445,-44.744552,1803.413411,1201.841066
0.008,1.442433,0.009520,10.000000,0.367379,-44.624433,1803.457299,1200.570537
0.009,1.622814,0.010711,10.000000,0.353830,-44.504441,1803.809144,1199.506104
0.010,1.803208,0.011901,10.000000,0.355009,-44.384555,1803.939912,1198.295463
0.011,1.983625,0.013092,10.000000,0.349756,-44.264790,1804.167735,1197.150344
0.012,2.164073,0.014283,10.000000,0.338880,-44.145140,1804.480744,1196.062601
0.013,2.344512,0.015474,10.000000,0.354503,-44.025599,1804.394070,1194.710950
0.014,2.524910,0.016664,10.000000,0.391884,-43.906192,1803.978081,1193.143080
0.015,2.705328,0.017855,10.000000,0.388281,-43.786942,1804.181329,1191.986618
0.016,2.885766,0.019046,10.000000,0.385130,-43.667808,1804.378011,1190.826783
0.017,3.066242,0.020237,10.000000,0.369809,-43.548790,1804.759584,1189.789812
0.018,3.246744,0.021429,10.000000,0.362696,-43.429875,1805.017207,1188.671793
0.019,3.427215,0.022620,10.000000,0.392653,-43.311072,1804.711723,1187.184191
0.020,3.607716,0.023811,10.000000,0.382670,-43.192418,1805.013211,1186.097484
0.021,3.788233,0.025002,10.000000,0.382670,-43.073873,1805.163123,1184.912028
0.022,3.968764,0.026194,10.000000,0.382670,-42.955446,1805.313209,1183.727758
0.023,4.149310,0.027385,10.000000,0.382670,-42.837137,1805.463471,1182.544671
0.024,4.329869,0.028577,10.000000,0.384347,-42.718947,1805.588271,1181.345993
0.025,4.510418,0.029769,10.000000,0.400540,-42.600876,1805.491087,1180.003355
0.026,4.690961,0.030960,10.000000,0.414699,-42.482940,1805.424691,1178.682409
0.027,4.871499,0.032152,10.000000,0.427078,-42.365135,1805.385263,1177.380574
0.028,5.052065,0.033344,10.000000,0.419052,-42.247461,1805.658814,1176.284092
0.029,5.232658,0.034536,10.000000,0.411392,-42.129896,1805.927185,1175.185041
0.030,5.413275,0.035728,10.000000,0.405337,-42.012441,1806.171312,1174.071042
0.031,5.593886,0.036920,10.000000,0.418892,-41.895098,1806.113815,1172.762052
0.032,5.774503,0.038112,10.000000,0.425134,-41.777885,1806.168783,1171.527509
0.033,5.955157,0.039304,10.000000,0.411069,-41.660796,1806.537123,1170.497267
