time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.148741,0.000982,13.000000,-0.110816,62.955200,1487.406917,1103.156164
0.002,0.297443,0.001963,13.000000,-0.110816,63.065475,1487.025558,1102.053418
0.003,0.446108,0.002944,13.000000,-0.110816,63.175639,1486.644013,1100.951774
0.004,0.594795,0.003926,13.000000,-0.155797,63.285693,1486.870116,1100.301035
0.005,0.743445,0.004907,13.000000,-0.156814,63.395682,1486.502257,1099.211319
0.006,0.892060,0.005888,13.000000,-0.159154,63.505563,1486.152120,1098.135912
0.007,1.040640,0.006868,13.000000,-0.161200,63.615336,1485.797855,1097.058640
0.008,1.189177,0.007849,13.000000,-0.158112,63.725001,1485.373862,1095.931111
0.009,1.337666,0.008829,13.000000,-0.150415,63.834553,1484.887113,1094.758615
0.010,1.486138,0.009809,13.000000,-0.166125,63.943988,1484.717774,1093.821365
0.011,1.634598,0.010788,13.000000,-0.186144,64.053330,1484.607043,1092.928141
0.012,1.783021,0.011768,13.000000,-0.186144,64.162582,1484.224323,1091.835619
0.013,1.931417,0.012747,13.000000,-0.194719,64.271725,1483.958069,1090.829936
0.014,2.079776,0.013727,13.000000,-0.195670,64.380768,1483.587981,1089.749021
0.015,2.228096,0.014705,13.000000,-0.195670,64.489702,1483.204768,1088.659676
0.016,2.376364,0.015684,13.000000,-0.185410,64.598528,1482.681479,1087.468817
0.017,2.524592,0.016662,13.000000,-0.184156,64.707234,1482.280720,1086.369214
0.018,2.672780,0.017640,13.000000,-0.183060,64.815831,1481.881907,1085.272285
0.019,2.820936,0.018618,13.000000,-0.187546,64.924318,1481.559179,1084.232282
0.020,2.969054,0.019596,13.000000,-0.187546,65.032701,1481.174987,1083.148451
0.021,3.117122,0.020573,13.000000,-0.179741,65.140976,1480.683793,1081.987649
0.022,3.265152,0.021550,13.000000,-0.179741,65.249135,1480.299179,1080.906062
0.023,3.413144,0.022527,13.000000,-0.179741,65.357185,1479.914380,1079.825556
0.024,3.561096,0.023503,13.000000,-0.179102,65.465128,1479.520631,1078.739739
0.025,3.709014,0.024479,13.000000,-0.182942,65.572962,1479.188161,1077.699796
0.026,3.856892,0.025455,13.000000,-0.181173,65.680692,1478.778536,1076.604808
0.027,4.004731,0.026431,13.000000,-0.180452,65.788313,1478.383092,1075.521387
0.028,4.152521,0.027407,13.000000,-0.173538,65.895825,1477.902268,1074.377124
0.029,4.300259,0.028382,13.000000,-0.163786,66.003223,1477.382083,1073.205630
0.030,4.447959,0.029357,13.000000,-0.163786,66.110504,1476.995887,1072.132821
0.031,4.595623,0.030331,13.000000,-0.166529,66.217678,1476.647324,1071.088515
0.032,4.743251,0.031305,13.000000,-0.167648,66.324747,1476.276213,1070.029010
0.033,4.890833,0.032279,13.000000,-0.162343,66.431711,1475.816246,1068.906326
0.034,5.038380,0.033253,13.000000,-0.165426,66.538562,1475.471901,1067.868644
0.035,5.185888,0.034227,13.000000,-0.165426,66.645309,1475.084795,1066.801169
0.036,5.333345,0.035200,13.000000,-0.156006,66.751950,1474.567157,1065.640561
0.037,5.480766,0.036173,13.000000,-0.158447,66.858475,1474.213426,1064.599725
0.038,5.628134,0.037146,13.000000,-0.148015,66.964896,1473.681158,1063.431198
0.039,5.775449,0.038118,13.000000,-0.137203,67.071200,1473.143251,1062.260031
0.040,5.922724,0.039090,13.000000,-0.137203,67.177386,1472.755041,1061.198162
0.041,6.069973,0.040062,13.000000,-0.146207,67.283467,1472.491705,1060.227400
0.042,6.217189,0.041033,13.000000,-0.149880,67.389451,1472.154230,1059.204288
0.043,6.364352,0.042005,13.000000,-0.140524,67.495332,1471.635429,1058.051920
0.044,6.511457,0.042976,13.000000,-0.125982,67.601099,1471.044094,1056.848838
0.045,6.658522,0.043946,13.000000,-0.125982,67.706745,1470.654893,1055.792378
0.046,6.805565,0.044917,13.000000,-0.137630,67.812285,1470.427866,1054.853446
0.047,6.952569,0.045887,13.000000,-0.137630,67.917732,1470.038374,1053.798980
0.048,7.099534,0.046857,13.000000,-0.137630,68.023073,1469.648699,1052.745569
0.049,7.246460,0.047827,13.000000,-0.137630,68.128309,1469.258841,1051.693210
0.050,7.393360,0.048796,13.000000,-0.147057,68.233439,1469.000601,1050.736177
0.051,7.540214,0.049765,13.000000,-0.141964,68.338475,1468.539177,1049.634893
0.052,7.687026,0.050734,13.000000,-0.139886,68.443399,1468.119712,1048.564869
0.053,7.833796,0.051703,13.000000,-0.138070,68.548217,1467.703688,1047.498526
0.054,7.980523,0.052671,13.000000,-0.135093,68.652929,1467.271180,1046.421645
0.055,8.127211,0.053640,13.000000,-0.135093,68.757533,1466.880208,1045.375608
0.056,8.273881,0.054608,13.000000,-0.150088,68.862032,1466.699617,1044.480564
0.057,8.420516,0.055575,13.000000,-0.153273,68.966442,1466.353134,1043.468315
0.058,8.567125,0.056543,13.000000,-0.162341,69.070750,1466.089253,1042.515907
0.059,8.713675,0.057510,13.000000,-0.148154,69.174964,1465.498073,1041.331904
0.060,8.860186,0.058477,13.000000,-0.148154,69.279059,1465.106273,1040.290954
0.061,9.006662,0.059444,13.000000,-0.151582,69.383050,1464.762604,1039.285323
0.062,9.153090,0.060410,13.000000,-0.145423,69.486940,1464.283593,1038.184826
0.063,9.299467,0.061376,13.000000,-0.136628,69.590721,1463.767087,1037.059069
0.064,9.445826,0.062342,13.000000,-0.152051,69.694389,1463.592334,1036.176621
0.065,9.592146,0.063308,13.000000,-0.152051,69.797968,1463.199649,1035.140823
0.066,9.738444,0.064274,13.000000,-0.163841,69.901445,1462.973566,1034.223965
0.067,9.884695,0.065239,13.000000,-0.159015,70.004829,1462.512269,1033.141853
0.068,10.030910,0.066204,13.000000,-0.161078,70.108106,1462.148311,1032.129721
0.069,10.177073,0.067169,13.000000,-0.152682,70.211281,1461.635934,1031.014011
0.070,10.323198,0.068133,13.000000,-0.152682,70.314345,1461.242344,1029.983373
0.071,10.469281,0.069097,13.000000,-0.151757,70.417305,1460.835446,1028.944520
0.072,10.615325,0.070061,13.000000,-0.151757,70.520162,1460.441486,1027.915951
0.073,10.761330,0.071025,13.000000,-0.151757,70.622916,1460.047346,1026.888410
0.074,10.907295,0.071988,13.000000,-0.151757,70.725568,1459.653024,1025.861897
0.075,11.053208,0.072951,13.000000,-0.142338,70.828116,1459.124393,1024.742212
0.076,11.199081,0.073914,13.000000,-0.142225,70.930553,1458.728049,1023.716722
0.077,11.344911,0.074876,13.000000,-0.140115,71.032888,1458.303029,1022.672276
0.078,11.490702,0.075839,13.000000,-0.140115,71.135118,1457.907905,1021.649976
0.079,11.636472,0.076801,13.000000,-0.153306,71.237245,1457.700978,1020.760610
