time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.297503,0.001964,13.000000,-0.118942,62.955200,2975.032943,2206.474833
0.002,0.594834,0.003926,13.000000,-0.111483,63.175683,2973.305724,2201.915993
0.003,0.892011,0.005887,13.000000,-0.111372,63.395711,2971.775247,2197.513211
0.004,1.189036,0.007848,13.000000,-0.111275,63.615300,2970.243654,2193.119506
0.005,1.485873,0.009807,13.000000,-0.098549,63.834449,2968.367997,2188.482013
0.006,1.782556,0.011765,13.000000,-0.098549,64.053135,2966.835729,2184.108295
0.007,2.079128,0.013722,13.000000,-0.113954,64.271384,2965.721101,2180.051408
0.008,2.375512,0.015678,13.000000,-0.101065,64.489227,2963.835064,2175.436752
0.009,2.671763,0.017634,13.000000,-0.108843,64.706610,2962.510675,2171.244667
0.010,2.967912,0.019588,13.000000,-0.127913,64.923573,2961.493921,2167.286797
0.011,3.263936,0.021542,13.000000,-0.138304,65.140142,2960.239404,2163.163244
0.012,3.559771,0.023494,13.000000,-0.125495,65.356298,2958.348208,2158.583945
0.013,3.855446,0.025446,13.000000,-0.123623,65.571997,2956.754899,2154.232530
0.014,4.150980,0.027396,13.000000,-0.128270,65.787261,2955.339188,2150.020179
0.015,4.446354,0.029346,13.000000,-0.126049,66.002104,2953.733247,2145.678903
0.016,4.741550,0.031294,13.000000,-0.117825,66.216514,2951.960132,2141.226218
0.017,5.036554,0.033241,13.000000,-0.104346,66.430478,2950.039913,2136.677352
0.018,5.331422,0.035187,13.000000,-0.111415,66.643989,2948.685545,2132.548527
0.019,5.626188,0.037133,13.000000,-0.130162,66.857086,2947.653602,2128.661513
0.020,5.920826,0.039077,13.000000,-0.140270,67.069796,2946.381836,2124.609487
0.021,6.215316,0.041021,13.000000,-0.142825,67.282100,2944.899471,2120.414489
0.022,6.509596,0.042963,13.000000,-0.123458,67.493986,2942.805999,2115.789440
0.023,6.803699,0.044904,13.000000,-0.115559,67.705409,2941.029241,2111.402992
0.024,7.097610,0.046844,13.000000,-0.102369,67.916394,2939.102880,2106.919498
0.025,7.391367,0.048783,13.000000,-0.103403,68.126931,2937.571588,2102.729438
0.026,7.684970,0.050721,13.000000,-0.104308,68.337050,2936.035265,2098.545151
0.027,7.978439,0.052658,13.000000,-0.112073,68.546751,2934.689798,2094.506442
0.028,8.271752,0.054594,13.000000,-0.112073,68.756048,2933.125473,2090.320501
0.029,8.564908,0.056528,13.000000,-0.112073,68.964926,2931.559687,2086.142925
0.030,8.858023,0.058463,13.000000,-0.153198,69.173388,2931.149957,2082.796195
0.031,9.150984,0.060396,13.000000,-0.154128,69.381515,2929.608546,2078.652256
0.032,9.443776,0.062329,13.000000,-0.150158,69.589228,2927.927433,2074.418608
