time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,9.900018266,1.435036767,9.792261002,0.250311022
0.001000,0.000000,0.000000,9.737989948,1.481717653,9.621115505,0.259031802
0.002000,0.000000,0.000000,9.730857689,1.585364298,9.597140491,0.266656697
0.003000,0.000000,0.000000,9.770548722,1.684492910,9.620682086,0.261881958
0.004000,0.000000,0.000000,9.770548722,1.684492910,9.620682086,0.261881958
0.005000,0.000000,0.000000,9.876483788,2.137264279,9.638678787,0.270008644
0.006000,0.000000,0.000000,10.012983112,2.177128088,9.770204639,0.251088461
0.007000,0.000000,0.000000,9.893747080,2.270434387,9.627319683,0.214650196
0.008000,0.000000,0.000000,9.602531436,1.710450513,9.446975471,0.193967692
0.009000,0.000000,0.000000,9.642898777,1.596858180,9.507715393,0.197202414
0.010000,0.000000,0.000000,9.503305307,1.560372134,9.372326952,0.193747463
0.011000,0.000000,0.000000,9.495477899,1.465639206,9.379615630,0.197009860
0.012000,0.000000,0.000000,9.392743278,1.428158884,9.281687978,0.185085856
0.013000,0.000000,0.000000,9.586292398,1.350040364,9.488862245,0.189436702
0.014000,0.000000,0.000000,9.569700323,1.281738506,9.481506666,0.193240805
0.015000,0.000000,0.000000,9.680457664,1.222019713,9.600739123,0.209133240
0.016000,0.000000,0.000000,9.864191417,1.358300964,9.767820240,0.216745388
0.017000,0.000000,0.000000,10.042196029,1.518806859,9.923864794,0.236292932
0.018000,0.000000,0.000000,10.110842457,1.554960884,9.987508889,0.246775278
0.019000,0.000000,0.000000,10.036814836,1.523739808,9.917491525,0.243374002
0.020000,0.000000,0.000000,10.034382330,1.496442087,9.919104655,0.246683329
0.021000,0.000000,0.000000,10.218750452,1.472574700,10.109010633,0.249576794
0.022000,0.000000,0.000000,10.486588076,1.668996864,10.349501060,0.266095406
0.023000,0.000000,0.000000,10.273067615,1.811941163,10.108330712,0.272832663
0.024000,0.000000,0.000000,10.212200360,1.936922551,10.023130430,0.272440105
0.025000,0.000000,0.000000,10.197499438,1.868792719,10.020647826,0.288488652
0.026000,0.000000,0.000000,10.197499438,1.868792719,10.020647826,0.288488652
0.027000,0.000000,0.000000,10.539257689,1.681419043,10.399718902,0.307618921
0.028000,0.000000,0.000000,10.494368027,1.759970472,10.340733553,0.321704550
0.029000,0.000000,0.000000,10.404750709,1.891482690,10.226328668,0.321453755
0.030000,0.000000,0.000000,10.301205613,1.690869024,10.156609938,0.314759567
0.031000,0.000000,0.000000,10.301205613,1.690869024,10.156609938,0.314759567
0.032000,0.000000,0.000000,10.362983025,1.773043154,10.205289137,0.315925287
0.033000,0.000000,0.000000,10.195432273,1.714417051,10.045072847,0.322683921
0.034000,0.000000,0.000000,10.028992377,1.537494415,9.904989929,0.328593240
0.035000,0.000000,0.000000,10.076082031,1.789353183,9.910958055,0.313934261
0.036000,0.000000,0.000000,10.076082031,1.789353183,9.910958055,0.313934261
0.037000,0.000000,0.000000,10.058234784,1.659835184,9.915520471,0.309011185
0.038000,0.000000,0.000000,9.908689526,1.489771508,9.791717585,0.291505930
0.039000,0.000000,0.000000,9.869464385,1.529574223,9.746304082,0.276200450
0.040000,0.000000,0.000000,9.638694711,1.241498855,9.554112399,0.286448232
0.041000,0.000000,0.000000,9.638694711,1.241498855,9.554112399,0.286448232
0.042000,0.000000,0.000000,9.674099981,1.256811664,9.587788661,0.287999106
0.043000,0.000000,0.000000,9.717504391,1.263057124,9.630833475,0.285700677
0.044000,0.000000,0.000000,9.684983268,1.205685902,9.605637265,0.277407892
0.045000,0.000000,0.000000,9.497335412,0.938961739,9.446577688,0.282667229
0.046000,0.000000,0.000000,9.497335412,0.938961739,9.446577688,0.282667229
0.047000,0.000000,0.000000,9.212034420,1.072573430,9.144382499,0.302379086
0.048000,0.000000,0.000000,9.302033532,1.198401803,9.219628751,0.300177670
0.049000,0.000000,0.000000,9.282732906,1.208074155,9.198528579,0.311061138
0.050000,0.000000,0.000000,9.135351251,1.283276003,9.039161845,0.318431019
0.051000,0.000000,0.000000,9.122457492,1.286195856,9.025485432,0.324874774
0.052000,0.000000,0.000000,9.016675351,1.037421376,8.950695795,0.330508782
0.053000,0.000000,0.000000,8.935344631,0.882740673,8.885304501,0.335434800
0.054000,0.000000,0.000000,9.000376130,0.880577311,8.950845424,0.337224375
0.055000,0.000000,0.000000,8.990956469,0.808438067,8.948267179,0.335023301
0.056000,0.000000,0.000000,9.045995361,0.745364108,9.008844780,0.339382008
0.057000,0.000000,0.000000,9.167238233,0.815879963,9.124641828,0.336909798
0.058000,0.000000,0.000000,9.392499642,0.814702681,9.351551096,0.322181885
0.059000,0.000000,0.000000,9.478398969,0.938437057,9.425042162,0.357719357
0.060000,0.000000,0.000000,9.615353275,1.047522503,9.551370158,0.359225993
0.061000,0.000000,0.000000,9.791090665,1.080068014,9.724655162,0.360543300
0.062000,0.000000,0.000000,9.889382679,1.171355588,9.813332678,0.355411884
0.063000,0.000000,0.000000,9.976084973,1.251171628,9.890866648,0.357208486
0.064000,0.000000,0.000000,9.785307942,1.075710592,9.719561439,0.353869573
0.065000,0.000000,0.000000,9.676389912,0.979050177,9.620383492,0.349576802
0.066000,0.000000,0.000000,9.608284387,1.145863880,9.533668613,0.339540291
0.067000,0.000000,0.000000,9.528163977,1.103219596,9.457850647,0.343331377
0.068000,0.000000,0.000000,9.451109193,1.003102298,9.391560247,0.340362875
0.069000,0.000000,0.000000,9.461139047,1.082461773,9.392795863,0.341781278
0.070000,0.000000,0.000000,9.337485444,1.047784833,9.271848636,0.351573938
0.071000,0.000000,0.000000,9.298920642,1.080297379,9.228931938,0.360136016
0.072000,0.000000,0.000000,9.449300981,0.952979071,9.394136089,0.362390749
0.073000,0.000000,0.000000,9.668272418,1.224744249,9.583260561,0.369608028
0.074000,0.000000,0.000000,9.767346122,1.172187565,9.689706246,0.369620690
0.075000,0.000000,0.000000,9.729585977,1.126235350,9.657111866,0.369631761
0.076000,0.000000,0.000000,9.821749474,1.086057659,9.754277122,0.375924626
0.077000,0.000000,0.000000,9.839639921,1.050928847,9.776400379,0.368860335
0.078000,0.000000,0.000000,9.952101473,1.173959616,9.875487832,0.375343362
0.079000,0.000000,0.000000,10.016438909,1.127784717,9.945211155,0.387201671
0.080000,0.000000,0.000000,9.892821114,1.150244181,9.817677228,0.397569821
0.081000,0.000000,0.000000,9.964703252,1.107049452,9.894665246,0.406635071
0.082000,0.000000,0.000000,10.021530434,1.006450880,9.961978664,0.420844334
0.083000,0.000000,0.000000,10.207527865,1.210685350,10.127228080,0.408800070
0.084000,0.000000,0.000000,10.200072807,1.348390919,10.102484938,0.403887714
0.085000,0.000000,0.000000,10.107905007,1.280296337,10.018019257,0.412159035
0.086000,0.000000,0.000000,10.159970530,1.283590625,10.069831553,0.419390950
0.087000,0.000000,0.000000,10.151649939,1.349302794,10.052301071,0.431997261
0.088000,0.000000,0.000000,10.236390221,1.331328207,10.141340135,0.405549279
0.089000,0.000000,0.000000,10.288549745,1.453873347,10.177655473,0.394762244
0.090000,0.000000,0.000000,10.255076764,1.435355305,10.146575437,0.391613934
0.091000,0.000000,0.000000,10.084843515,1.293500603,9.993737328,0.395144438
0.092000,0.000000,0.000000,10.007341737,1.232303741,9.922937275,0.404514471
0.093000,0.000000,0.000000,9.888083749,1.202741846,9.806910131,0.390033293
0.094000,0.000000,0.000000,10.054421921,1.404277478,9.948083035,0.393762425
0.095000,0.000000,0.000000,10.237200173,1.391991837,10.134347483,0.397022942
0.096000,0.000000,0.000000,10.320111751,1.128110374,10.250929532,0.387965530
0.097000,0.000000,0.000000,10.275652256,1.087697062,10.210641607,0.385671320
0.098000,0.000000,0.000000,10.074433620,1.437603636,9.964017869,0.381911568
0.099000,0.000000,0.000000,9.910523999,1.609625665,9.771288768,0.386661307
0.100000,0.000000,0.000000,9.831826252,1.760030769,9.665610572,0.378247806
