time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,2.018044620,0.867183250,-1.787334302,-0.354870955
0.001000,0.000000,0.000000,2.023303211,0.838378037,-1.807595197,-0.351394020
0.002000,0.000000,0.000000,2.112525061,0.876024448,-1.888141885,-0.360920380
0.003000,0.000000,0.000000,2.076759174,0.908940071,-1.832903073,-0.356683252
0.004000,0.000000,0.000000,2.324839042,1.063383101,-2.035933186,-0.359261763
0.005000,0.000000,0.000000,2.333507748,1.018116478,-2.070291088,-0.350131487
0.006000,0.000000,0.000000,2.268959853,1.033176290,-1.992162732,-0.334683761
0.007000,0.000000,0.000000,2.131214965,0.983511777,-1.861020421,-0.333743623
0.008000,0.000000,0.000000,2.064855048,0.940088291,-1.809189792,-0.326638442
0.009000,0.000000,0.000000,1.928315082,0.984687258,-1.625604446,-0.325883790
0.010000,0.000000,0.000000,1.823805716,0.815452350,-1.603357061,-0.300916748
0.011000,0.000000,0.000000,1.660469405,0.604652275,-1.521073512,-0.279087158
0.012000,0.000000,0.000000,1.595291185,0.608837678,-1.449130018,-0.272567125
0.013000,0.000000,0.000000,1.550703896,0.486833422,-1.449059064,-0.260583238
0.014000,0.000000,0.000000,1.706597484,0.420452205,-1.629542659,-0.283347203
0.015000,0.000000,0.000000,1.928418286,0.636280431,-1.795295943,-0.301424578
0.016000,0.000000,0.000000,2.007571347,0.636491322,-1.877388201,-0.317230284
0.017000,0.000000,0.000000,1.822509621,0.573843860,-1.697837030,-0.331049785
0.018000,0.000000,0.000000,1.583083793,0.456237056,-1.478017072,-0.336849492
0.019000,0.000000,0.000000,1.612490291,0.569766579,-1.471080137,-0.333787683
0.020000,0.000000,0.000000,1.660750965,0.703999554,-1.468250849,-0.326676964
0.021000,0.000000,0.000000,1.658208578,0.821364316,-1.402945247,-0.326742991
0.022000,0.000000,0.000000,1.683077443,0.861148733,-1.408678042,-0.326800720
0.023000,0.000000,0.000000,1.700865345,0.770269988,-1.476522286,-0.345700751
0.024000,0.000000,0.000000,1.852431154,0.794042069,-1.634745936,-0.358614138
0.025000,0.000000,0.000000,1.794394057,0.711596195,-1.611349797,-0.342100450
0.026000,0.000000,0.000000,1.727301818,0.576678922,-1.590893704,-0.346511490
0.027000,0.000000,0.000000,1.720435132,0.395884001,-1.635840052,-0.356651407
0.028000,0.000000,0.000000,1.662453476,0.174976587,-1.612306423,-0.365517104
0.029000,0.000000,0.000000,1.575531484,0.236985066,-1.518803336,-0.345505373
0.030000,0.000000,0.000000,1.624088308,0.224541040,-1.572808827,-0.336922167
0.031000,0.000000,0.000000,1.539015387,0.150828923,-1.494364082,-0.335700743
0.032000,0.000000,0.000000,1.285919341,0.389992852,-1.180809269,-0.327389059
0.033000,0.000000,0.000000,1.246487876,0.358321300,-1.151624641,-0.314799230
0.034000,0.000000,0.000000,1.318608754,0.267797860,-1.251771168,-0.316357856
0.035000,0.000000,0.000000,1.111786613,0.174384194,-1.046795886,-0.331478505
0.036000,0.000000,0.000000,0.975222968,0.106974972,-0.908788171,-0.337224337
0.037000,0.000000,0.000000,1.040773484,0.110868496,-0.976618575,-0.342248127
0.038000,0.000000,0.000000,1.133564862,0.302768305,-1.035925160,-0.346640608
0.039000,0.000000,0.000000,1.232424456,0.470553273,-1.087779059,-0.337914744
0.040000,0.000000,0.000000,1.447598742,0.564919443,-1.298420949,-0.300850759
0.041000,0.000000,0.000000,1.632266019,0.699761527,-1.442952361,-0.304162202
0.042000,0.000000,0.000000,1.712763538,0.754827002,-1.506489567,-0.307057517
0.043000,0.000000,0.000000,1.572030710,0.551645333,-1.436378746,-0.322155366
0.044000,0.000000,0.000000,1.479847297,0.436828079,-1.375078310,-0.329072779
0.045000,0.000000,0.000000,1.612256586,0.413474042,-1.525946554,-0.316065863
0.046000,0.000000,0.000000,1.703077258,0.316019904,-1.641886255,-0.323748505
0.047000,0.000000,0.000000,1.630262747,0.356475920,-1.554760984,-0.336748903
0.048000,0.000000,0.000000,1.644348435,0.454679937,-1.541416051,-0.348115623
0.049000,0.000000,0.000000,1.776602918,0.540543273,-1.655411798,-0.351770774
0.050000,0.000000,0.000000,2.166307051,0.453615767,-2.085659785,-0.370327205
0.051000,0.000000,0.000000,2.386445990,0.413949124,-2.319759406,-0.377474351
0.052000,0.000000,0.000000,2.469175694,0.442098992,-2.398777495,-0.383723361
