time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,-0.054783400,1.285283943,0.352872772,-0.054783400
0.001000,0.000000,0.000000,-0.068115694,1.414619437,0.447921744,-0.068115694
0.002000,0.000000,0.000000,-0.067206233,1.402038447,0.531026511,-0.067206233
0.003000,0.000000,0.000000,-0.053844687,1.391038431,0.352360612,-0.053844687
0.004000,0.000000,0.000000,-0.068067757,1.365115918,-0.168077470,-0.068067757
0.005000,0.000000,0.000000,-0.067164319,1.295923871,-0.321723225,-0.067164319
0.006000,0.000000,0.000000,-0.066374410,1.423922312,-0.456061284,-0.066374410
0.007000,0.000000,0.000000,-0.047809489,1.798494698,-0.322910462,-0.047809489
0.008000,0.000000,0.000000,-0.047809489,1.798494698,-0.322910462,-0.047809489
0.009000,0.000000,0.000000,-0.038321325,1.448961186,-0.095457752,-0.038321325
0.010000,0.000000,0.000000,-0.038321325,1.448961186,-0.095457752,-0.038321325
0.011000,0.000000,0.000000,-0.073882549,1.687272748,0.107385121,-0.073882549
0.012000,0.000000,0.000000,-0.073882549,1.687272748,0.107385121,-0.073882549
0.013000,0.000000,0.000000,-0.073882549,1.687272748,0.107385121,-0.073882549
0.014000,0.000000,0.000000,-0.113717740,1.888359740,0.162939177,-0.113717740
0.015000,0.000000,0.000000,-0.113360941,1.941910494,0.156192203,-0.113360941
0.016000,0.000000,0.000000,-0.100999417,1.731301585,0.380671305,-0.100999417
0.017000,0.000000,0.000000,-0.109609466,1.703858055,0.198973419,-0.109609466
0.018000,0.000000,0.000000,-0.109768928,1.780593975,0.250530101,-0.109768928
0.019000,0.000000,0.000000,-0.103625167,1.722023268,0.358439833,-0.103625167
0.020000,0.000000,0.000000,-0.099839954,1.508269557,0.590218498,-0.099839954
0.021000,0.000000,0.000000,-0.099839954,1.508269557,0.590218498,-0.099839954
0.022000,0.000000,0.000000,-0.102439912,1.753102787,0.594700740,-0.102439912
0.023000,0.000000,0.000000,-0.103500327,1.823650431,0.533697008,-0.103500327
0.024000,0.000000,0.000000,-0.098144302,1.948164650,0.543191083,-0.098144302
0.025000,0.000000,0.000000,-0.089366845,1.806810198,0.378150101,-0.089366845
0.026000,0.000000,0.000000,-0.089366845,1.806810198,0.378150101,-0.089366845
0.027000,0.000000,0.000000,-0.077163179,1.690854132,0.259877903,-0.077163179
0.028000,0.000000,0.000000,-0.075116777,1.643560466,0.178117396,-0.075116777
0.029000,0.000000,0.000000,-0.079610718,1.665041751,0.043799364,-0.079610718
0.030000,0.000000,0.000000,-0.057928169,1.818013309,-0.294089082,-0.057928169
0.031000,0.000000,0.000000,-0.057928169,1.818013309,-0.294089082,-0.057928169
0.032000,0.000000,0.000000,-0.040563074,1.691522823,-0.544496936,-0.040563074
0.033000,0.000000,0.000000,-0.024266421,1.581313274,-0.462344867,-0.024266421
0.034000,0.000000,0.000000,-0.016300850,1.547784919,-0.453348184,-0.016300850
0.035000,0.000000,0.000000,-0.003246872,1.437902473,-0.375772564,-0.003246872
0.036000,0.000000,0.000000,-0.011327564,1.353901303,-0.442132506,-0.011327564
0.037000,0.000000,0.000000,-0.023837494,1.411782232,-0.498507636,-0.023837494
0.038000,0.000000,0.000000,-0.034775380,1.399557776,-0.484966605,-0.034775380
0.039000,0.000000,0.000000,-0.040923589,1.371628651,-0.580543584,-0.040923589
