time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,0.016240643,-1.072789098,-1.342392157,0.016240643
0.001000,0.000000,0.000000,0.015559008,-0.888605912,-1.329158871,0.015559008
0.002000,0.000000,0.000000,0.014963031,-0.916063427,-1.317588529,0.014963031
0.003000,0.000000,0.000000,0.020269528,-0.953165125,-1.298627049,0.020269528
0.004000,0.000000,0.000000,0.006515238,-0.909678037,-1.353725302,0.006515238
0.005000,0.000000,0.000000,-0.005510637,-0.934487551,-1.464731558,-0.005510637
0.006000,0.000000,0.000000,0.009107446,-0.956179409,-1.498956502,0.009107446
0.007000,0.000000,0.000000,0.027724327,-0.878114341,-1.455683146,0.027724327
0.008000,0.000000,0.000000,0.027724327,-0.878114341,-1.455683146,0.027724327
0.009000,0.000000,0.000000,0.029235510,-0.822177762,-1.404195406,0.029235510
0.010000,0.000000,0.000000,0.066095590,-0.932459845,-1.003810876,0.066095590
0.011000,0.000000,0.000000,0.059148998,-0.891574659,-0.970293116,0.059148998
0.012000,0.000000,0.000000,0.059358526,-0.918659110,-1.003819175,0.059358526
0.013000,0.000000,0.000000,0.071478703,-0.853172776,-1.121593541,0.071478703
0.014000,0.000000,0.000000,0.063855649,-1.073578510,-1.136106628,0.063855649
0.015000,0.000000,0.000000,0.063473722,-1.140623536,-1.085964093,0.063473722
0.016000,0.000000,0.000000,0.069422974,-1.010747876,-1.167786361,0.069422974
0.017000,0.000000,0.000000,0.062058251,-0.960024726,-1.239326540,0.062058251
0.018000,0.000000,0.000000,0.026435336,-1.293035536,-1.050303020,0.026435336
0.019000,0.000000,0.000000,0.011906228,-1.269670925,-1.010942885,0.011906228
0.020000,0.000000,0.000000,0.018052458,-1.060746839,-0.850865184,0.018052458
0.021000,0.000000,0.000000,0.023426329,-0.815245075,-0.899398999,0.023426329
0.022000,0.000000,0.000000,0.037726648,-0.774116474,-0.735504499,0.037726648
0.023000,0.000000,0.000000,0.040628188,-0.815961156,-0.672871259,0.040628188
0.024000,0.000000,0.000000,0.043165110,-0.978211186,-0.618108745,0.043165110
0.025000,0.000000,0.000000,0.041829001,-1.299042746,-0.355659730,0.041829001
