time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,-0.283068132,0.294031481,-2.589030003,-0.283068132
0.001000,0.000000,0.000000,-0.297422746,0.292893865,-2.426064311,-0.297422746
0.002000,0.000000,0.000000,-0.322539877,0.166235500,-2.220745639,-0.322539877
0.003000,0.000000,0.000000,-0.338217511,0.055493494,-2.041228072,-0.338217511
0.004000,0.000000,0.000000,-0.326792294,0.147163298,-2.072764907,-0.326792294
0.005000,0.000000,0.000000,-0.326128633,-0.118744124,-2.061615627,-0.326128633
0.006000,0.000000,0.000000,-0.335072105,-0.130842681,-2.090590486,-0.335072105
0.007000,0.000000,0.000000,-0.342891708,-0.204252742,-2.053092404,-0.342891708
0.008000,0.000000,0.000000,-0.342891708,-0.204252742,-2.053092404,-0.342891708
0.009000,0.000000,0.000000,-0.338436055,-0.198893461,-2.054472391,-0.338436055
0.010000,0.000000,0.000000,-0.374169709,-0.571203795,-1.707267245,-0.374169709
0.011000,0.000000,0.000000,-0.370792976,-0.589276446,-1.529443423,-0.370792976
0.012000,0.000000,0.000000,-0.380406947,-0.542246167,-1.373965601,-0.380406947
0.013000,0.000000,0.000000,-0.382529605,-0.375462182,-1.426521258,-0.382529605
0.014000,0.000000,0.000000,-0.384385522,-0.229636890,-1.472472576,-0.384385522
0.015000,0.000000,0.000000,-0.357590210,0.009341634,-1.539881925,-0.357590210
0.016000,0.000000,0.000000,-0.343730548,0.043979199,-1.445924215,-0.343730548
0.017000,0.000000,0.000000,-0.344178913,0.137095933,-1.552269139,-0.344178913
0.018000,0.000000,0.000000,-0.338287749,0.092847566,-1.582418513,-0.338287749
0.019000,0.000000,0.000000,-0.322350124,0.255869377,-1.749595336,-0.322350124
0.020000,0.000000,0.000000,-0.325485232,0.322359205,-1.817779822,-0.325485232
0.021000,0.000000,0.000000,-0.321943186,0.380493675,-1.940227845,-0.321943186
0.022000,0.000000,0.000000,-0.318846246,0.431322753,-1.984456743,-0.318846246
0.023000,0.000000,0.000000,-0.322421665,0.350100753,-2.085959526,-0.322421665
0.024000,0.000000,0.000000,-0.333774679,0.287721657,-2.071702438,-0.333774679
0.025000,0.000000,0.000000,-0.322907765,0.350208810,-2.162241604,-0.322907765
0.026000,0.000000,0.000000,-0.313406427,0.404843595,-2.241403283,-0.313406427
0.027000,0.000000,0.000000,-0.311382248,0.389780918,-2.436280918,-0.311382248
0.028000,0.000000,0.000000,-0.309612435,0.376611073,-2.543837655,-0.309612435
0.029000,0.000000,0.000000,-0.295724831,0.056660429,-2.131261548,-0.295724831
0.030000,0.000000,0.000000,-0.295922587,0.085351739,-2.088652589,-0.295922587
0.031000,0.000000,0.000000,-0.296095493,0.110437592,-2.114229884,-0.296095493
