time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,-3.065596646,-15.133208995,113.505897528,-3.065596646
0.001000,0.000000,0.000000,-3.069919899,-15.179301312,113.630820129,-3.069919899
0.002000,0.000000,0.000000,-3.067416690,-15.219601498,113.551548933,-3.067416690
0.003000,0.000000,0.000000,-3.065228045,-15.254837413,113.482239250,-3.065228045
0.004000,0.000000,0.000000,-3.061641291,-15.375413892,113.549254400,-3.061641291
0.005000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.006000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.007000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.008000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.009000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.010000,0.000000,0.000000,-3.066461589,-15.516733550,113.605896763,-3.066461589
0.011000,0.000000,0.000000,-3.070676150,-15.577462603,113.529757530,-3.070676150
0.012000,0.000000,0.000000,-3.061794723,-15.693392072,113.463186235,-3.061794723
0.013000,0.000000,0.000000,-3.083359813,-15.710673121,113.526793373,-3.083359813
0.014000,0.000000,0.000000,-3.060318140,-15.747031009,113.460594566,-3.060318140
0.015000,0.000000,0.000000,-3.046455153,-15.841651883,113.402714546,-3.046455153
0.016000,0.000000,0.000000,-3.040617427,-15.924382347,113.477771649,-3.040617427
0.017000,0.000000,0.000000,-3.048079661,-15.996716595,113.543396799,-3.048079661
0.018000,0.000000,0.000000,-3.054025587,-16.107362294,113.596007142,-3.054025587
0.019000,0.000000,0.000000,-3.059802902,-16.156702603,113.709606235,-3.059802902
0.020000,0.000000,0.000000,-3.064854218,-16.137010774,113.620434485,-3.064854218
0.021000,0.000000,0.000000,-3.069270768,-16.119793492,113.542468389,-3.069270768
0.022000,0.000000,0.000000,-3.073132317,-15.979076092,113.474299800,-3.073132317
0.023000,0.000000,0.000000,-3.089074980,-15.918873614,113.414697530,-3.089074980
0.024000,0.000000,0.000000,-3.089074980,-15.918873614,113.414697530,-3.089074980
0.025000,0.000000,0.000000,-3.089074980,-15.918873614,113.414697530,-3.089074980
0.026000,0.000000,0.000000,-3.042998829,-15.530090979,113.683825125,-3.042998829
0.027000,0.000000,0.000000,-3.050161808,-15.463477782,113.723556832,-3.050161808
0.028000,0.000000,0.000000,-3.050123696,-15.479975764,113.843605332,-3.050123696
0.029000,0.000000,0.000000,-3.056391337,-15.419660231,113.674762906,-3.056391337
0.030000,0.000000,0.000000,-3.061871363,-15.429756024,113.527137846,-3.061871363
0.031000,0.000000,0.000000,-3.072945935,-15.627078702,113.398063897,-3.072945935
0.032000,0.000000,0.000000,-3.063779278,-15.799605080,113.348041713,-3.063779278
0.033000,0.000000,0.000000,-3.060533761,-15.799764821,113.862801141,-3.060533761
0.034000,0.000000,0.000000,-3.059210050,-15.762095263,114.068537617,-3.059210050
0.035000,0.000000,0.000000,-3.064335866,-15.791991254,114.122756779,-3.064335866
0.036000,0.000000,0.000000,-3.062534368,-15.880962257,114.232994413,-3.062534368
0.037000,0.000000,0.000000,-3.060959253,-15.770257275,114.266547325,-3.060959253
0.038000,0.000000,0.000000,-3.052884337,-16.004969843,114.203765822,-3.052884337
0.039000,0.000000,0.000000,-3.052521880,-15.941513461,114.240991707,-3.052521880
0.040000,0.000000,0.000000,-3.045921786,-16.074526803,114.210707796,-3.045921786
0.041000,0.000000,0.000000,-3.040151084,-16.127993341,114.247061326,-3.040151084
0.042000,0.000000,0.000000,-3.036977242,-16.042910126,114.188869479,-3.036977242
0.043000,0.000000,0.000000,-3.044896915,-15.974686028,114.039471734,-3.044896915
0.044000,0.000000,0.000000,-3.051821373,-15.915035222,113.846016010,-3.051821373
0.045000,0.000000,0.000000,-3.039026122,-15.988544064,113.676870650,-3.039026122
0.046000,0.000000,0.000000,-3.040405140,-16.178479219,113.654644429,-3.040405140
0.047000,0.000000,0.000000,-3.059935495,-16.191377099,113.555388238,-3.059935495
0.048000,0.000000,0.000000,-3.064970149,-16.355823503,113.611259800,-3.064970149
0.049000,0.000000,0.000000,-3.064970149,-16.355823503,113.611259800,-3.064970149
0.050000,0.000000,0.000000,-3.064970149,-16.355823503,113.611259800,-3.064970149
0.051000,0.000000,0.000000,-3.064970149,-16.355823503,113.611259800,-3.064970149
0.052000,0.000000,0.000000,-3.043494463,-16.191335636,113.783149821,-3.043494463
0.053000,0.000000,0.000000,-3.025462417,-16.104459838,113.747568165,-3.025462417
0.054000,0.000000,0.000000,-3.009696345,-15.902837468,113.716457832,-3.009696345
0.055000,0.000000,0.000000,-2.995911496,-15.977879125,113.626425086,-2.995911496
0.056000,0.000000,0.000000,-3.008991643,-16.231986328,113.673369894,-3.008991643
0.057000,0.000000,0.000000,-3.005294650,-16.287217525,113.742407374,-3.005294650
0.058000,0.000000,0.000000,-3.017195675,-16.251124707,113.774777418,-3.017195675
0.059000,0.000000,0.000000,-3.027601174,-16.345231151,113.803079722,-3.027601174
0.060000,0.000000,0.000000,-3.049265449,-16.364679978,113.827825454,-3.049265449
0.061000,0.000000,0.000000,-3.061924126,-16.318852941,113.786629693,-3.061924126
0.062000,0.000000,0.000000,-3.081879601,-16.314479117,113.946758430,-3.081879601
0.063000,0.000000,0.000000,-3.084156677,-16.400624212,113.764953404,-3.084156677
0.064000,0.000000,0.000000,-3.073581237,-16.475943994,113.731658377,-3.073581237
0.065000,0.000000,0.000000,-3.070617932,-16.541798814,113.765379180,-3.070617932
0.066000,0.000000,0.000000,-3.074310191,-16.536546220,113.794862502,-3.074310191
0.067000,0.000000,0.000000,-3.056017894,-16.418065929,113.615539415,-3.056017894
0.068000,0.000000,0.000000,-3.061544849,-16.428362068,113.726684010,-3.061544849
0.069000,0.000000,0.000000,-3.060094080,-16.311700650,113.886693617,-3.060094080
0.070000,0.000000,0.000000,-3.039976065,-16.209699338,114.089427676,-3.039976065
0.071000,0.000000,0.000000,-3.022386154,-16.183347742,114.203853569,-3.022386154
0.072000,0.000000,0.000000,-3.029679778,-16.195098910,114.202879191,-3.029679778
0.073000,0.000000,0.000000,-3.044799663,-16.170582057,114.177384640,-3.044799663
0.074000,0.000000,0.000000,-3.058019527,-16.211977937,114.092261976,-3.058019527
0.075000,0.000000,0.000000,-3.058019527,-16.211977937,114.092261976,-3.058019527
0.076000,0.000000,0.000000,-3.061624257,-16.334753684,113.772163057,-3.061624257
0.077000,0.000000,0.000000,-3.061624257,-16.334753684,113.772163057,-3.061624257
0.078000,0.000000,0.000000,-3.011352776,-16.009915491,113.310174979,-3.011352776
0.079000,0.000000,0.000000,-3.028775700,-16.134333180,113.271197241,-3.028775700
0.080000,0.000000,0.000000,-3.037726009,-15.991788669,113.237117591,-3.037726009
0.081000,0.000000,0.000000,-3.045551590,-15.867156829,113.207320515,-3.045551590
0.082000,0.000000,0.000000,-3.058376153,-15.780678161,113.284152767,-3.058376153
0.083000,0.000000,0.000000,-3.057323575,-15.871070809,113.562604343,-3.057323575
0.084000,0.000000,0.000000,-3.057323575,-15.871070809,113.562604343,-3.057323575
0.085000,0.000000,0.000000,-3.038328190,-15.610966066,114.011035170,-3.038328190
0.086000,0.000000,0.000000,-3.046078098,-15.722685365,114.009648450,-3.046078098
0.087000,0.000000,0.000000,-3.041508230,-15.905770980,114.070207745,-3.041508230
0.088000,0.000000,0.000000,-3.042575337,-16.043275854,114.124217033,-3.042575337
0.089000,0.000000,0.000000,-3.037225163,-16.037837650,113.982943754,-3.037225163
0.090000,0.000000,0.000000,-3.045113681,-15.970250978,113.796591546,-3.045113681
0.091000,0.000000,0.000000,-3.064577270,-15.785493791,113.884984459,-3.064577270
0.092000,0.000000,0.000000,-3.072131032,-15.843913419,114.147610810,-3.072131032
0.093000,0.000000,0.000000,-3.069349964,-15.989191543,114.317557048,-3.069349964
0.094000,0.000000,0.000000,-3.073201561,-16.116213480,114.340483505,-3.073201561
0.095000,0.000000,0.000000,-3.051436411,-16.352937076,114.109201527,-3.051436411
0.096000,0.000000,0.000000,-3.019839980,-16.182921988,114.095478858,-3.019839980
0.097000,0.000000,0.000000,-2.991613345,-16.147732950,114.182862485,-2.991613345
0.098000,0.000000,0.000000,-2.986384058,-16.003504574,114.159883307,-2.986384058
0.099000,0.000000,0.000000,-3.000661458,-15.877400470,114.139791778,-3.000661458
0.100000,0.000000,0.000000,-3.006861522,-15.955638635,114.185056878,-3.006861522
0.101000,0.000000,0.000000,-3.006861522,-15.955638635,114.185056878,-3.006861522
0.102000,0.000000,0.000000,-3.006861522,-15.955638635,114.185056878,-3.006861522
0.103000,0.000000,0.000000,-3.011658985,-15.782845568,114.013819416,-3.011658985
0.104000,0.000000,0.000000,-3.044243281,-15.896825117,113.829964570,-3.044243281
0.105000,0.000000,0.000000,-3.045599196,-15.795462815,113.815077873,-3.045599196
0.106000,0.000000,0.000000,-3.058718588,-15.883997569,113.838315873,-3.058718588
0.107000,0.000000,0.000000,-3.076472534,-15.961406717,113.732969993,-3.076472534
0.108000,0.000000,0.000000,-3.079429082,-16.029088345,113.640862267,-3.079429082
0.109000,0.000000,0.000000,-3.075730915,-15.962601143,113.497497287,-3.075730915
0.110000,0.000000,0.000000,-3.059931102,-16.092964528,113.434979934,-3.059931102
0.111000,0.000000,0.000000,-3.051308784,-15.890468155,113.638790062,-3.051308784
0.112000,0.000000,0.000000,-3.032294762,-15.904232333,113.684181042,-3.032294762
0.113000,0.000000,0.000000,-3.034519667,-15.916266853,113.723868023,-3.034519667
0.114000,0.000000,0.000000,-3.042748169,-15.738293511,113.695735937,-3.042748169
0.115000,0.000000,0.000000,-3.061726656,-15.572294461,113.641737385,-3.061726656
0.116000,0.000000,0.000000,-3.047686670,-15.626041524,113.623926140,-3.047686670
0.117000,0.000000,0.000000,-3.041694186,-15.673034532,113.671184975,-3.041694186
0.118000,0.000000,0.000000,-3.030171555,-15.588458518,113.649673237,-3.030171555
0.119000,0.000000,0.000000,-3.026380086,-15.514510640,113.568032890,-3.026380086
0.120000,0.000000,0.000000,-3.020166625,-15.330492986,113.614840545,-3.020166625
0.121000,0.000000,0.000000,-3.030198782,-15.163298306,113.788904816,-3.030198782
0.122000,0.000000,0.000000,-3.030198782,-15.163298306,113.788904816,-3.030198782
0.123000,0.000000,0.000000,-3.009729942,-15.124835669,113.830729657,-3.009729942
0.124000,0.000000,0.000000,-2.989657685,-15.297643915,113.726337090,-2.989657685
0.125000,0.000000,0.000000,-3.010153661,-15.447282723,113.727962716,-3.010153661
0.126000,0.000000,0.000000,-3.010153661,-15.447282723,113.727962716,-3.010153661
0.127000,0.000000,0.000000,-3.010153661,-15.447282723,113.727962716,-3.010153661
0.128000,0.000000,0.000000,-3.010153661,-15.447282723,113.727962716,-3.010153661
0.129000,0.000000,0.000000,-3.035143566,-15.644371522,113.556304582,-3.035143566
0.130000,0.000000,0.000000,-3.045563597,-15.838937248,113.481705532,-3.045563597
0.131000,0.000000,0.000000,-3.052404277,-15.733513284,113.546836336,-3.052404277
0.132000,0.000000,0.000000,-3.045818962,-15.767000993,113.666614415,-3.045818962
0.133000,0.000000,0.000000,-3.052627552,-15.984776071,113.771340736,-3.052627552
0.134000,0.000000,0.000000,-3.071146920,-16.238016578,113.925738613,-3.071146920
0.135000,0.000000,0.000000,-3.082984127,-16.104153774,113.832595771,-3.082984127
0.136000,0.000000,0.000000,-3.074425608,-15.969749467,113.652280823,-3.074425608
0.137000,0.000000,0.000000,-3.071356195,-16.099214567,113.758808357,-3.071356195
0.138000,0.000000,0.000000,-3.056106126,-16.086746897,113.789117393,-3.056106126
0.139000,0.000000,0.000000,-3.061621993,-16.138677813,113.815617683,-3.061621993
0.140000,0.000000,0.000000,-3.079011086,-16.121251045,113.838787848,-3.079011086
0.141000,0.000000,0.000000,-3.071388361,-16.029860201,113.688263561,-3.071388361
0.142000,0.000000,0.000000,-3.074983806,-16.026107857,113.664605665,-3.074983806
0.143000,0.000000,0.000000,-3.065561063,-16.085658900,113.643920707,-3.065561063
0.144000,0.000000,0.000000,-3.057322417,-16.200558391,113.563003244,-3.057322417
0.145000,0.000000,0.000000,-3.056402255,-16.238187334,113.617917876,-3.056402255
0.146000,0.000000,0.000000,-3.030551120,-16.174189948,113.817784328,-3.030551120
0.147000,0.000000,0.000000,-3.026711953,-16.026636887,113.715018518,-3.026711953
0.148000,0.000000,0.000000,-3.029638415,-15.960457744,113.562334788,-3.029638415
0.149000,0.000000,0.000000,-3.044763498,-15.902594917,113.617333421,-3.044763498
0.150000,0.000000,0.000000,-3.051704722,-15.977667054,113.539757015,-3.051704722
0.151000,0.000000,0.000000,-3.051704722,-15.977667054,113.539757015,-3.051704722
0.152000,0.000000,0.000000,-3.051704722,-15.977667054,113.539757015,-3.051704722
0.153000,0.000000,0.000000,-3.051704722,-15.977667054,113.539757015,-3.051704722
0.154000,0.000000,0.000000,-3.059369620,-15.999755430,113.868574811,-3.059369620
0.155000,0.000000,0.000000,-3.070758570,-15.874122457,113.885090187,-3.070758570
0.156000,0.000000,0.000000,-3.028959635,-16.076475348,113.912155590,-3.028959635
0.157000,0.000000,0.000000,-3.012754089,-15.941201466,114.174521857,-3.012754089
0.158000,0.000000,0.000000,-3.011151363,-15.822926602,114.215422646,-3.011151363
0.159000,0.000000,0.000000,-3.018540009,-15.756972887,114.452894760,-3.018540009
0.160000,0.000000,0.000000,-3.022493388,-15.913176280,114.270318620,-3.022493388
0.161000,0.000000,0.000000,-3.032233156,-15.924086871,114.110685674,-3.032233156
0.162000,0.000000,0.000000,-3.034465804,-15.807962690,113.908280943,-3.034465804
0.163000,0.000000,0.000000,-3.020854248,-15.970962421,114.173315816,-3.020854248
0.164000,0.000000,0.000000,-3.030799996,-16.100275097,114.277200014,-3.030799996
0.165000,0.000000,0.000000,-3.039495925,-16.150506010,114.305197886,-3.039495925
0.166000,0.000000,0.000000,-3.040815906,-16.131592867,114.204013736,-3.040815906
0.167000,0.000000,0.000000,-3.060819569,-15.989392713,114.178376613,-3.060819569
0.168000,0.000000,0.000000,-3.070047973,-16.117554818,114.010698785,-3.070047973
0.169000,0.000000,0.000000,-3.067528670,-16.228446150,113.820858777,-3.067528670
0.170000,0.000000,0.000000,-3.065325953,-16.074075054,113.780538474,-3.065325953
0.171000,0.000000,0.000000,-3.057116851,-15.939102802,113.933780529,-3.057116851
0.172000,0.000000,0.000000,-3.062505707,-15.821091663,113.816438207,-3.062505707
0.173000,0.000000,0.000000,-3.058770594,-15.871126709,113.671178066,-3.058770594
0.174000,0.000000,0.000000,-3.063951634,-15.824489551,113.524003490,-3.063951634
0.175000,0.000000,0.000000,-3.063951634,-15.824489551,113.524003490,-3.063951634
0.176000,0.000000,0.000000,-3.063951634,-15.824489551,113.524003490,-3.063951634
0.177000,0.000000,0.000000,-3.064436592,-16.076170950,113.253153881,-3.064436592
0.178000,0.000000,0.000000,-3.075188807,-16.129430879,113.284173479,-3.075188807
0.179000,0.000000,0.000000,-3.072023488,-16.175997968,113.248463186,-3.072023488
0.180000,0.000000,0.000000,-3.056689564,-16.028217705,113.154408528,-3.056689564
0.181000,0.000000,0.000000,-3.043282558,-15.899008057,113.260668687,-3.043282558
0.182000,0.000000,0.000000,-3.045654326,-15.695154938,113.560471566,-3.045654326
0.183000,0.000000,0.000000,-3.052483605,-15.733462899,113.741368044,-3.052483605
0.184000,0.000000,0.000000,-3.057943223,-15.979752006,113.827130768,-3.057943223
0.185000,0.000000,0.000000,-3.050661863,-15.856632738,113.848854156,-3.050661863
0.186000,0.000000,0.000000,-3.050578691,-15.811816946,113.742183997,-3.050578691
0.187000,0.000000,0.000000,-3.050505971,-15.709801020,113.586086552,-3.050505971
0.188000,0.000000,0.000000,-3.050442388,-15.809100352,113.449604891,-3.050442388
0.189000,0.000000,0.000000,-3.062114992,-15.909000270,113.398642903,-3.062114992
0.190000,0.000000,0.000000,-3.060592577,-15.983267486,113.411379811,-3.060592577
0.191000,0.000000,0.000000,-3.046695104,-15.859706450,113.296852446,-3.046695104
0.192000,0.000000,0.000000,-3.047110410,-15.751672551,113.322380721,-3.047110410
0.193000,0.000000,0.000000,-3.060039897,-15.845710152,113.533196577,-3.060039897
0.194000,0.000000,0.000000,-3.063958325,-15.889946656,113.289841541,-3.063958325
0.195000,0.000000,0.000000,-3.055921085,-15.966608220,113.190587126,-3.055921085
0.196000,0.000000,0.000000,-3.074026575,-15.907972502,113.040973535,-3.074026575
0.197000,0.000000,0.000000,-3.089856862,-15.793873312,112.910160943,-3.089856862
0.198000,0.000000,0.000000,-3.103697857,-15.756944103,112.858618599,-3.103697857
0.199000,0.000000,0.000000,-3.115799542,-15.850319261,113.127712522,-3.115799542
0.200000,0.000000,0.000000,-3.115799542,-15.850319261,113.127712522,-3.115799542
0.201000,0.000000,0.000000,-3.115799542,-15.850319261,113.127712522,-3.115799542
0.202000,0.000000,0.000000,-3.067892932,-15.775282101,113.118596389,-3.067892932
0.203000,0.000000,0.000000,-3.088021674,-15.945979289,112.964998958,-3.088021674
0.204000,0.000000,0.000000,-3.101830236,-16.084366820,113.224570378,-3.101830236
0.205000,0.000000,0.000000,-3.107883427,-16.136596825,113.510509297,-3.107883427
0.206000,0.000000,0.000000,-3.125742322,-16.119431562,113.634852366,-3.125742322
0.207000,0.000000,0.000000,-3.135073817,-16.104423349,113.617906318,-3.135073817
0.208000,0.000000,0.000000,-3.124383126,-15.965637418,113.603089773,-3.124383126
0.209000,0.000000,0.000000,-3.096189637,-16.026632358,113.878908164,-3.096189637
0.210000,0.000000,0.000000,-3.090385276,-16.086117491,113.956956866,-3.090385276
0.211000,0.000000,0.000000,-3.091593498,-16.075295648,113.899533973,-3.091593498
0.212000,0.000000,0.000000,-3.088079915,-16.120392662,113.923197343,-3.088079915
0.213000,0.000000,0.000000,-3.089577837,-16.168095527,113.932848650,-3.089577837
0.214000,0.000000,0.000000,-3.078321154,-16.209803873,114.004118990,-3.078321154
0.215000,0.000000,0.000000,-3.081045398,-15.994943581,114.003601383,-3.081045398
0.216000,0.000000,0.000000,-3.095993674,-15.869915284,114.003148820,-3.095993674
0.217000,0.000000,0.000000,-3.090654123,-15.719955048,113.704039261,-3.090654123
0.218000,0.000000,0.000000,-3.098111746,-15.629482828,113.615567078,-3.098111746
0.219000,0.000000,0.000000,-3.092065846,-15.487547830,113.663876344,-3.092065846
0.220000,0.000000,0.000000,-3.067930140,-15.489112616,113.643283035,-3.067930140
0.221000,0.000000,0.000000,-3.059393787,-15.678976324,113.562445705,-3.059393787
0.222000,0.000000,0.000000,-3.050898026,-15.872356994,113.610569344,-3.050898026
0.223000,0.000000,0.000000,-3.050898026,-15.872356994,113.610569344,-3.050898026
0.224000,0.000000,0.000000,-3.050898026,-15.872356994,113.610569344,-3.050898026
0.225000,0.000000,0.000000,-3.050898026,-15.872356994,113.610569344,-3.050898026
0.226000,0.000000,0.000000,-3.051474909,-15.770837693,113.481810903,-3.051474909
0.227000,0.000000,0.000000,-3.051289566,-15.673971371,113.609760318,-3.051289566
0.228000,0.000000,0.000000,-3.062762629,-15.632994843,113.756611999,-3.062762629
0.229000,0.000000,0.000000,-3.061158830,-15.804777777,113.787197037,-3.061158830
0.230000,0.000000,0.000000,-3.059756570,-15.892141978,113.813938646,-3.059756570
0.231000,0.000000,0.000000,-3.068298080,-15.659138285,113.735173983,-3.068298080
0.232000,0.000000,0.000000,-3.065998675,-15.576308526,113.579957442,-3.065998675
0.233000,0.000000,0.000000,-3.070271408,-15.441055607,113.444245988,-3.070271408
0.234000,0.000000,0.000000,-3.061440842,-15.385630925,113.576915950,-3.061440842
0.235000,0.000000,0.000000,-3.047436773,-15.525666673,113.630082260,-3.047436773
0.236000,0.000000,0.000000,-3.059817308,-15.637389269,113.717211221,-3.059817308
0.237000,0.000000,0.000000,-3.046017258,-15.682956277,113.815579360,-3.046017258
0.238000,0.000000,0.000000,-3.046517744,-15.659965313,113.713090635,-3.046517744
0.239000,0.000000,0.000000,-3.072088078,-15.702695332,113.434985464,-3.072088078
0.240000,0.000000,0.000000,-3.095143193,-15.756929931,113.159826516,-3.095143193
0.241000,0.000000,0.000000,-3.076903961,-15.661811311,113.139742124,-3.076903961
0.242000,0.000000,0.000000,-3.067239925,-15.704309355,113.185013463,-3.067239925
0.243000,0.000000,0.000000,-3.058790306,-15.929962496,113.287427692,-3.058790306
0.244000,0.000000,0.000000,-3.051402499,-16.127259228,113.376972169,-3.051402499
0.245000,0.000000,0.000000,-3.063638530,-16.324925454,113.523717681,-3.063638530
0.246000,0.000000,0.000000,-3.061924662,-16.346925971,113.395073523,-3.061924662
0.247000,0.000000,0.000000,-3.061924662,-16.346925971,113.395073523,-3.061924662
0.248000,0.000000,0.000000,-3.061924662,-16.346925971,113.395073523,-3.061924662
0.249000,0.000000,0.000000,-3.074550498,-16.302612363,113.138402876,-3.074550498
0.250000,0.000000,0.000000,-3.079755205,-16.286272413,113.231467716,-3.079755205
0.251000,0.000000,0.000000,-3.076016055,-16.250298361,113.265212478,-3.076016055
0.252000,0.000000,0.000000,-3.079029967,-16.093181235,113.294716748,-3.079029967
0.253000,0.000000,0.000000,-3.075381954,-16.018639883,113.257681549,-3.075381954
0.254000,0.000000,0.000000,-3.065909178,-16.016297526,113.288132184,-3.065909178
0.255000,0.000000,0.000000,-3.057457944,-16.130226894,113.275202838,-3.057457944
0.256000,0.000000,0.000000,-3.070874602,-16.274546829,113.198744353,-3.070874602
0.257000,0.000000,0.000000,-3.061968237,-15.925886992,113.173769401,-3.061968237
0.258000,0.000000,0.000000,-3.041614708,-15.683872895,113.089101041,-3.041614708
0.259000,0.000000,0.000000,-3.017535694,-15.660766745,113.077904274,-3.017535694
0.260000,0.000000,0.000000,-3.009048908,-15.703396053,113.068114534,-3.009048908
0.261000,0.000000,0.000000,-2.994351193,-15.953856850,113.169839129,-2.994351193
0.262000,0.000000,0.000000,-2.995061043,-15.896823516,113.274160221,-2.995061043
0.263000,0.000000,0.000000,-2.995681691,-15.972620908,113.428203790,-2.995681691
0.264000,0.000000,0.000000,-3.002507531,-15.850397760,113.500057821,-3.002507531
0.265000,0.000000,0.000000,-2.995909240,-15.869197332,113.562882408,-2.995909240
0.266000,0.000000,0.000000,-2.955259169,-16.017774098,113.720775527,-2.955259169
0.267000,0.000000,0.000000,-2.954598283,-16.078372392,113.818695762,-2.954598283
0.268000,0.000000,0.000000,-2.972870001,-16.131355680,113.967142831,-2.972870001
0.269000,0.000000,0.000000,-2.988845628,-16.052017185,113.845608078,-2.988845628
0.270000,0.000000,0.000000,-3.002813698,-15.982648660,113.676513980,-3.002813698
0.271000,0.000000,0.000000,-3.013138205,-16.222271571,113.517170553,-3.013138205
0.272000,0.000000,0.000000,-3.013138205,-16.222271571,113.517170553,-3.013138205
0.273000,0.000000,0.000000,-3.013138205,-16.222271571,113.517170553,-3.013138205
0.274000,0.000000,0.000000,-3.013138205,-16.222271571,113.517170553,-3.013138205
0.275000,0.000000,0.000000,-2.999224584,-16.213349032,113.225147168,-2.999224584
0.276000,0.000000,0.000000,-3.022960827,-16.163097645,113.117180725,-3.022960827
0.277000,0.000000,0.000000,-3.026358670,-16.268265896,113.039623508,-3.026358670
0.278000,0.000000,0.000000,-3.010479971,-16.234554610,113.034644271,-3.010479971
0.279000,0.000000,0.000000,-3.021729390,-16.267911461,112.967458890,-3.021729390
0.280000,0.000000,0.000000,-3.037848350,-16.234244714,112.971548127,-3.037848350
0.281000,0.000000,0.000000,-3.052174740,-16.060503461,113.279350707,-3.052174740
0.282000,0.000000,0.000000,-3.039335084,-15.990068519,113.495573874,-3.039335084
0.283000,0.000000,0.000000,-3.029280685,-16.055239593,113.669320578,-3.029280685
0.284000,0.000000,0.000000,-3.031884351,-16.173961688,113.522379421,-3.031884351
0.285000,0.000000,0.000000,-3.034160831,-16.214932870,113.456735287,-3.034160831
0.286000,0.000000,0.000000,-3.036151239,-16.187923609,113.525003944,-3.036151239
