time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,0.784425105,0.587907627,1.418078717,0.784425105
0.001000,0.000000,0.000000,0.784905588,0.474349505,1.299591526,0.784905588
0.002000,0.000000,0.000000,0.784905588,0.474349505,1.299591526,0.784905588
0.003000,0.000000,0.000000,0.784905588,0.474349505,1.299591526,0.784905588
0.004000,0.000000,0.000000,0.784905588,0.474349505,1.299591526,0.784905588
0.005000,0.000000,0.000000,0.784905588,0.474349505,1.299591526,0.784905588
0.006000,0.000000,0.000000,0.762631593,0.092051730,0.898508611,0.762631593
0.007000,0.000000,0.000000,0.756888534,0.121661264,0.806696939,0.756888534
0.008000,0.000000,0.000000,0.761393252,0.389877956,0.665886009,0.761393252
0.009000,0.000000,0.000000,0.758484817,0.426868683,0.767585846,0.758484817
0.010000,0.000000,0.000000,0.758484817,0.426868683,0.767585846,0.758484817
0.011000,0.000000,0.000000,0.747435288,0.134185027,0.808587860,0.747435288
0.012000,0.000000,0.000000,0.750672175,0.426456644,0.484198466,0.750672175
0.013000,0.000000,0.000000,0.742827805,0.458850757,0.545897981,0.742827805
0.014000,0.000000,0.000000,0.735969187,0.487174106,0.537012253,0.735969187
0.015000,0.000000,0.000000,0.729972449,0.449106385,0.529243138,0.729972449
0.016000,0.000000,0.000000,0.756264968,0.331784825,0.705006671,0.756264968
0.017000,0.000000,0.000000,0.772850528,0.376075750,0.864622314,0.772850528
0.018000,0.000000,0.000000,0.768502330,0.414800913,0.815684505,0.768502330
0.019000,0.000000,0.000000,0.764700542,0.260164170,0.835728256,0.764700542
0.020000,0.000000,0.000000,0.761376500,0.376287065,0.916085088,0.761376500
0.021000,0.000000,0.000000,0.755929061,0.323157565,0.812237838,0.755929061
0.022000,0.000000,0.000000,0.759990462,0.494196330,0.895546563,0.759990462
0.023000,0.000000,0.000000,0.763541492,0.580909876,0.779890845,0.763541492
0.024000,0.000000,0.000000,0.779212657,0.593894824,0.615937000,0.779212657
0.025000,0.000000,0.000000,0.779212657,0.593894824,0.615937000,0.779212657
0.026000,0.000000,0.000000,0.779212657,0.593894824,0.615937000,0.779212657
0.027000,0.000000,0.000000,0.798286746,0.625406185,0.127589305,0.798286746
0.028000,0.000000,0.000000,0.809591694,0.632799562,0.108437943,0.809591694
0.029000,0.000000,0.000000,0.804564640,0.582083976,0.077052685,0.804564640
0.030000,0.000000,0.000000,0.804564640,0.582083976,0.077052685,0.804564640
0.031000,0.000000,0.000000,0.804564640,0.582083976,0.077052685,0.804564640
0.032000,0.000000,0.000000,0.792871053,0.553127474,0.341641978,0.792871053
0.033000,0.000000,0.000000,0.786007001,0.381108102,0.546919376,0.786007001
0.034000,0.000000,0.000000,0.787324561,0.507442950,0.530023958,0.787324561
