time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,4.211362,3.300000,4.00,0.228638,0.003771,1.209231
0.002,4.222747,3.300000,4.00,0.217253,0.007554,1.209231
0.003,4.230321,3.300000,4.00,0.209679,0.011344,1.209231
0.004,4.230660,3.300000,4.00,0.209340,0.015135,1.209231
0.005,4.243523,3.300000,4.00,0.196477,0.018939,1.209231
0.006,4.239847,3.300000,4.00,0.200153,0.022738,1.209231
0.007,4.239847,3.300000,4.00,0.200153,0.026538,1.209231
0.008,4.242558,3.300000,4.00,0.197442,0.030341,1.209231
0.009,4.241359,3.300000,4.00,0.198641,0.034142,1.209231
0.010,4.246595,3.300000,4.00,0.193405,0.037949,1.209231
0.011,4.243397,3.300000,4.00,0.196603,0.041752,1.209231
0.012,4.242093,3.300000,4.00,0.197907,0.045554,1.209231
0.013,4.240953,3.300000,4.00,0.199047,0.049355,1.209231
0.014,4.239956,3.300000,4.00,0.200044,0.053155,1.209231
0.015,4.232801,3.300000,4.00,0.207199,0.056948,1.209231
0.016,4.227359,3.300000,4.00,0.212641,0.060735,1.209231
0.017,4.253203,3.300000,4.00,0.186797,0.064549,1.209231
0.018,4.256950,3.300000,4.00,0.183050,0.068366,1.209231
0.019,4.253943,3.300000,4.00,0.186057,0.072179,1.209231
0.020,4.251314,3.300000,4.00,0.188686,0.075991,1.209231
0.021,4.253288,3.300000,4.00,0.186712,0.079804,1.209231
0.022,4.257024,3.300000,4.00,0.182976,0.083621,1.209231
0.023,4.260291,3.300000,4.00,0.179709,0.087441,1.209231
0.024,4.263147,3.300000,4.00,0.176853,0.091265,1.209231
0.025,4.259361,3.300000,4.00,0.180639,0.095084,1.209231
0.026,4.259361,3.300000,4.00,0.180639,0.098903,1.209231
0.027,4.261614,3.300000,4.00,0.178386,0.102725,1.209231
0.028,4.264304,3.300000,4.00,0.175696,0.106549,1.209231
0.029,4.260372,3.300000,4.00,0.179628,0.110370,1.209231
0.030,4.256935,3.300000,4.00,0.183065,0.114186,1.209231
0.031,4.286633,3.300000,4.00,0.153367,0.118033,1.209231
