time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,3.280149,3.280149,4.00,-0.057356,0.004057,1.209231
0.002,3.284580,3.284580,4.00,-0.063686,0.008121,1.209231
0.003,3.271509,3.271509,4.00,-0.045013,0.012166,1.209231
0.004,3.285822,3.285822,4.00,-0.065460,0.016232,1.209231
0.005,3.293939,3.293939,4.00,-0.077055,0.020309,1.209231
0.006,3.296637,3.296637,4.00,-0.080910,0.024389,1.209231
0.007,3.294598,3.294598,4.00,-0.077997,0.028467,1.209231
0.008,3.295655,3.295655,4.00,-0.079507,0.032547,1.209231
0.009,3.285718,3.285718,4.00,-0.065312,0.036612,1.209231
0.010,3.285718,3.285718,4.00,-0.065312,0.040678,1.209231
0.011,3.267991,3.267991,4.00,-0.039988,0.044718,1.209231
0.012,3.260756,3.260756,4.00,-0.029651,0.048747,1.209231
0.013,3.262092,3.262092,4.00,-0.031561,0.052779,1.209231
0.014,3.264394,3.264394,4.00,-0.034849,0.056814,1.209231
0.015,3.253212,3.253212,4.00,-0.018875,0.060833,1.209231
0.016,3.239037,3.239037,4.00,0.001375,0.064831,1.209231
0.017,3.226644,3.226644,4.00,0.019081,0.068812,1.209231
0.018,3.239860,3.239860,4.00,0.000199,0.072812,1.209231
0.019,3.249354,3.249354,4.00,-0.013363,0.076825,1.209231
0.020,3.262053,3.262053,4.00,-0.031505,0.080857,1.209231
0.021,3.268759,3.268759,4.00,-0.041084,0.084898,1.209231
0.022,3.261426,3.261426,4.00,-0.030609,0.088928,1.209231
0.023,3.249963,3.249963,4.00,-0.014233,0.092943,1.209231
0.024,3.262586,3.262586,4.00,-0.032265,0.096975,1.209231
0.025,3.264826,3.264826,4.00,-0.035465,0.101010,1.209231
0.026,3.266784,3.266784,4.00,-0.038263,0.105049,1.209231
0.027,3.259700,3.259700,4.00,-0.028143,0.109077,1.209231
0.028,3.249108,3.249108,4.00,-0.013011,0.113090,1.209231
0.029,3.249108,3.249108,4.00,-0.013011,0.117103,1.209231
0.030,3.229551,3.229551,4.00,0.014927,0.121088,1.209231
0.031,3.222748,3.222748,4.00,0.024646,0.125063,1.209231
0.032,3.225596,3.225596,4.00,0.020577,0.129043,1.209231
0.033,3.225865,3.225865,4.00,0.020193,0.133022,1.209231
0.034,3.228321,3.228321,4.00,0.016684,0.137006,1.209231
0.035,3.234867,3.234867,4.00,0.007333,0.140998,1.209231
0.036,3.227395,3.227395,4.00,0.018007,0.144980,1.209231
0.037,3.220863,3.220863,4.00,0.027339,0.148953,1.209231
0.038,3.222799,3.222799,4.00,0.024573,0.152929,1.209231
0.039,3.216844,3.216844,4.00,0.033080,0.156895,1.209231
0.040,3.211638,3.211638,4.00,0.040518,0.160855,1.209231
0.041,3.207085,3.207085,4.00,0.047021,0.164808,1.209231
0.042,3.194308,3.194308,4.00,0.065274,0.168743,1.209231
0.043,3.156882,3.156882,4.00,0.118740,0.172624,1.209231
0.044,3.141618,3.141618,4.00,0.140546,0.176483,1.209231
0.045,3.123873,3.123873,4.00,0.165896,0.180317,1.209231
0.046,3.099562,3.099562,4.00,0.200626,0.184117,1.209231
0.047,3.078306,3.078306,4.00,0.230992,0.187886,1.209231
0.048,3.043471,3.043471,4.00,0.280755,0.191605,1.209231
0.049,3.038060,3.038060,4.00,0.288486,0.195317,1.209231
0.050,3.024532,3.024532,4.00,0.307811,0.199009,1.209231
0.051,3.008307,3.008307,4.00,0.330991,0.202678,1.209231
0.052,2.998518,2.998518,4.00,0.344974,0.206333,1.209231
0.053,2.964883,2.964883,4.00,0.393024,0.209940,1.209231
0.054,2.964883,2.964883,4.00,0.393024,0.213547,1.209231
0.055,2.907301,2.907301,4.00,0.475284,0.217072,1.209231
0.056,2.883816,2.883816,4.00,0.508834,0.220563,1.209231
0.057,2.872078,2.872078,4.00,0.525602,0.224037,1.209231
0.058,2.827559,2.827559,4.00,0.589202,0.227448,1.209231
0.059,2.792103,2.792103,4.00,0.639853,0.230808,1.209231
0.060,2.761103,2.761103,4.00,0.684139,0.234124,1.209231
0.061,2.738396,2.738396,4.00,0.716577,0.237407,1.209231
0.062,2.718543,2.718543,4.00,0.744938,0.240662,1.209231
0.063,2.673366,2.673366,4.00,0.809477,0.243853,1.209231
0.064,2.635296,2.635296,4.00,0.863863,0.246989,1.209231
0.065,2.580018,2.580018,4.00,0.942831,0.250046,1.209231
0.066,2.544882,2.544882,4.00,0.993026,0.253053,1.209231
0.067,2.514160,2.514160,4.00,1.036914,0.256016,1.209231
0.068,2.447327,2.447327,4.00,1.132390,0.258884,1.209231
0.069,2.411272,2.411272,4.00,1.183897,0.261700,1.209231
0.070,2.366553,2.366553,4.00,1.247781,0.264452,1.209231
0.071,2.314259,2.314259,4.00,1.322487,0.267130,1.209231
0.072,2.272935,2.272935,4.00,1.381521,0.269748,1.209231
0.073,2.184327,2.184327,4.00,1.508104,0.272240,1.209231
0.074,2.083614,2.083614,4.00,1.651980,0.274588,1.209231
0.075,2.036088,2.036088,4.00,1.719875,0.276868,1.209231
0.076,1.990135,1.990135,4.00,1.785521,0.279083,1.209231
0.077,1.945559,1.945559,4.00,1.849201,0.281233,1.209231
0.078,1.786457,1.786457,4.00,2.076490,0.283157,1.209231
0.079,1.727892,1.727892,4.00,2.160154,0.284997,1.209231
0.080,1.681085,1.681085,4.00,2.227022,0.286770,1.209231
0.081,1.545565,1.545565,4.00,2.420621,0.288349,1.209231
0.082,1.477687,1.477687,4.00,2.517590,0.289832,1.209231
0.083,1.405145,1.405145,4.00,2.621222,0.291210,1.209231
0.084,1.337320,1.337320,4.00,2.718115,0.292492,1.209231
0.085,1.278018,1.278018,4.00,2.802832,0.293689,1.209231
0.086,1.155550,1.155550,4.00,2.977786,0.294712,1.209231
0.087,1.092701,1.092701,4.00,3.067570,0.295644,1.209231
0.088,1.024555,1.024555,4.00,3.164922,0.296479,1.209231
0.089,0.969370,0.969370,4.00,3.243757,0.297235,1.209231
0.090,0.903527,0.903527,4.00,3.337818,0.297898,1.209231
0.091,0.770893,0.770893,4.00,3.527295,0.298370,1.209231
0.092,0.712399,0.712399,4.00,3.610859,0.298759,1.209231
0.093,0.652459,0.652459,4.00,3.696487,0.299063,1.209231
0.094,0.591255,0.591255,4.00,3.783922,0.299279,1.209231
0.095,0.533343,0.533343,4.00,3.866652,0.299412,1.209231
0.096,0.421951,0.421951,4.00,4.025785,0.299387,1.209231
0.097,0.358925,0.358925,4.00,4.115821,0.299271,1.209231
0.098,0.303820,0.303820,4.00,4.194543,0.299076,1.209231
0.099,0.251241,0.251241,4.00,4.269656,0.298807,1.209231
0.100,0.192075,0.192075,4.00,4.354179,0.298452,1.209231
0.101,0.090715,0.090715,4.00,4.498979,0.297953,1.209231
0.102,-0.055244,0.000000,4.00,4.707492,0.297246,1.209231
0.103,-0.097888,0.000000,4.00,4.768411,0.296478,1.209231
0.104,-0.139570,0.000000,4.00,4.827958,0.295650,1.209231
0.105,-0.176015,0.000000,4.00,4.880022,0.294770,1.209231
0.106,-0.268716,0.000000,4.00,5.012452,0.293757,1.209231
0.107,-0.302127,0.000000,4.00,5.060181,0.292697,1.209231
0.108,-0.322542,0.000000,4.00,5.089346,0.291608,1.209231
0.109,-0.344791,0.000000,4.00,5.121130,0.290486,1.209231
0.110,-0.377438,0.000000,4.00,5.167768,0.289319,1.209231
0.111,-0.459517,0.000000,4.00,5.285024,0.288034,1.209231
0.112,-0.490942,0.000000,4.00,5.329917,0.286704,1.209231
0.113,-0.518418,0.000000,4.00,5.369169,0.285335,1.209231
0.114,-0.542441,0.000000,4.00,5.403488,0.283931,1.209231
0.115,-0.550251,0.000000,4.00,5.414644,0.282516,1.209231
0.116,-0.588334,0.000000,4.00,5.469048,0.281047,1.209231
0.117,-0.603571,0.000000,4.00,5.490816,0.279557,1.209231
0.118,-0.608097,0.000000,4.00,5.497282,0.278059,1.209231
0.119,-0.620851,0.000000,4.00,5.515502,0.276544,1.209231
0.120,-0.623206,0.000000,4.00,5.518865,0.275025,1.209231
0.121,-0.627065,0.000000,4.00,5.524378,0.273501,1.209231
0.122,-0.637435,0.000000,4.00,5.539193,0.271961,1.209231
0.123,-0.646502,0.000000,4.00,5.552146,0.270409,1.209231
0.124,-0.645633,0.000000,4.00,5.550905,0.268858,1.209231
0.125,-0.640476,0.000000,4.00,5.543537,0.267315,1.209231
0.126,-0.631470,0.000000,4.00,5.530672,0.265784,1.209231
0.127,-0.617448,0.000000,4.00,5.510640,0.264273,1.209231
0.128,-0.588582,0.000000,4.00,5.469404,0.262804,1.209231
0.129,-0.577399,0.000000,4.00,5.453427,0.261351,1.209231
0.130,-0.580816,0.000000,4.00,5.458309,0.259892,1.209231
0.131,-0.566211,0.000000,4.00,5.437444,0.258455,1.209231
0.132,-0.549042,0.000000,4.00,5.412917,0.257042,1.209231
0.133,-0.504419,0.000000,4.00,5.349170,0.255693,1.209231
0.134,-0.486219,0.000000,4.00,5.323170,0.254370,1.209231
0.135,-0.470306,0.000000,4.00,5.300438,0.253069,1.209231
0.136,-0.460792,0.000000,4.00,5.286845,0.251782,1.209231
0.137,-0.456871,0.000000,4.00,5.281244,0.250501,1.209231
0.138,-0.429559,0.000000,4.00,5.242227,0.249259,1.209231
0.139,-0.411970,0.000000,4.00,5.217100,0.248042,1.209231
0.140,-0.396591,0.000000,4.00,5.195130,0.246847,1.209231
0.141,-0.374348,0.000000,4.00,5.163355,0.245683,1.209231
0.142,-0.341706,0.000000,4.00,5.116723,0.244567,1.209231
0.143,-0.287659,0.000000,4.00,5.039513,0.243527,1.209231
0.144,-0.265911,0.000000,4.00,5.008444,0.242519,1.209231
0.145,-0.233700,0.000000,4.00,4.962429,0.241556,1.209231
0.146,-0.187945,0.000000,4.00,4.897064,0.240659,1.209231
0.147,-0.156735,0.000000,4.00,4.852479,0.239807,1.209231
0.148,-0.101191,0.000000,4.00,4.773131,0.239033,1.209231
0.149,-0.080884,0.000000,4.00,4.744120,0.238289,1.209231
0.150,-0.054332,0.000000,4.00,4.706188,0.237583,1.209231
0.151,-0.002022,0.000000,4.00,4.631460,0.236952,1.209231
0.152,0.058853,0.058853,4.00,4.544496,0.236407,1.209231
0.153,0.094235,0.094235,4.00,4.493950,0.235913,1.209231
0.154,0.129568,0.129568,4.00,4.443474,0.235470,1.209231
0.155,0.156064,0.156064,4.00,4.405623,0.235064,1.209231
0.156,0.179229,0.179229,4.00,4.372530,0.234692,1.209231
0.157,0.229835,0.229835,4.00,4.300235,0.234391,1.209231
0.158,0.261324,0.261324,4.00,4.255252,0.234136,1.209231
0.159,0.284457,0.284457,4.00,4.222205,0.233914,1.209231
0.160,0.313479,0.313479,4.00,4.180744,0.233733,1.209231
0.161,0.338855,0.338855,4.00,4.144493,0.233589,1.209231
0.162,0.363953,0.363953,4.00,4.108639,0.233480,1.209231
0.163,0.391782,0.391782,4.00,4.068883,0.233411,1.209231
0.164,0.416114,0.416114,4.00,4.034123,0.233377,1.209231
0.165,0.432990,0.432990,4.00,4.010014,0.233367,1.209231
0.166,0.452144,0.452144,4.00,3.982652,0.233384,1.209231
0.167,0.487931,0.487931,4.00,3.931527,0.233453,1.209231
0.168,0.517774,0.517774,4.00,3.888894,0.233564,1.209231
0.169,0.535070,0.535070,4.00,3.864186,0.233700,1.209231
0.170,0.558989,0.558989,4.00,3.830016,0.233870,1.209231
0.171,0.575504,0.575504,4.00,3.806423,0.234063,1.209231
0.172,0.615763,0.615763,4.00,3.748910,0.234314,1.209231
0.173,0.651533,0.651533,4.00,3.697810,0.234617,1.209231
0.174,0.674012,0.674012,4.00,3.665698,0.234951,1.209231
0.175,0.684869,0.684869,4.00,3.650187,0.235301,1.209231
0.176,0.741927,0.741927,4.00,3.568675,0.235732,1.209231
0.177,0.779256,0.779256,4.00,3.515349,0.236217,1.209231
0.178,0.798879,0.798879,4.00,3.487316,0.236729,1.209231
0.179,0.820434,0.820434,4.00,3.456523,0.237273,1.209231
0.180,0.843679,0.843679,4.00,3.423316,0.237850,1.209231
0.181,0.859605,0.859605,4.00,3.400565,0.238449,1.209231
0.182,0.902191,0.902191,4.00,3.339727,0.239109,1.209231
0.183,0.923958,0.923958,4.00,3.308631,0.239801,1.209231
0.184,0.951787,0.951787,4.00,3.268876,0.240532,1.209231
