time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,3.129496,3.129496,4.00,0.157917,0.003842,1.209231
0.002,3.141179,3.141179,4.00,0.141283,0.007701,1.209231
0.003,3.150365,3.150365,4.00,0.128215,0.011573,1.209231
0.004,3.154003,3.154003,4.00,0.123073,0.015450,1.209231
0.005,3.152791,3.152791,4.00,0.124860,0.019325,1.209231
0.006,3.151736,3.151736,4.00,0.126423,0.023198,1.209231
0.007,3.150535,3.150535,4.00,0.128194,0.027070,1.209231
0.008,3.154172,3.154172,4.00,0.123054,0.030947,1.209231
0.009,3.152958,3.152958,4.00,0.124844,0.034822,1.209231
0.010,3.152997,3.152997,4.00,0.124844,0.038697,1.209231
0.011,3.151535,3.151535,4.00,0.126986,0.042570,1.209231
0.012,3.151574,3.151574,4.00,0.126986,0.046443,1.209231
0.013,3.165617,3.165617,4.00,0.106981,0.050336,1.209231
0.014,3.167387,3.167387,4.00,0.104507,0.054232,1.209231
0.015,3.168940,3.168940,4.00,0.102344,0.058129,1.209231
0.016,3.174702,3.174702,4.00,0.094170,0.062035,1.209231
0.017,3.175345,3.175345,4.00,0.093306,0.065942,1.209231
0.018,3.159888,3.159888,4.00,0.115443,0.069827,1.209231
0.019,3.158005,3.158005,4.00,0.118189,0.073708,1.209231
0.020,3.160761,3.160761,4.00,0.114307,0.077594,1.209231
0.021,3.167575,3.167575,4.00,0.104629,0.081489,1.209231
0.022,3.151545,3.151545,4.00,0.127583,0.085362,1.209231
0.023,3.145585,3.145585,4.00,0.136154,0.089226,1.209231
0.024,3.145523,3.145523,4.00,0.136297,0.093089,1.209231
0.025,3.163067,3.163067,4.00,0.111290,0.096978,1.209231
0.026,3.165217,3.165217,4.00,0.108274,0.100870,1.209231
0.027,3.158305,3.158305,4.00,0.118204,0.104752,1.209231
0.028,3.138708,3.138708,4.00,0.146254,0.108605,1.209231
0.029,3.135137,3.135137,4.00,0.151411,0.112454,1.209231
0.030,3.140815,3.140815,4.00,0.143354,0.116311,1.209231
0.031,3.132590,3.132590,4.00,0.155159,0.120155,1.209231
0.032,3.125404,3.125404,4.00,0.165480,0.123990,1.209231
0.033,3.121845,3.121845,4.00,0.170618,0.127819,1.209231
0.034,3.116019,3.116019,4.00,0.178997,0.131640,1.209231
0.035,3.115327,3.115327,4.00,0.180040,0.135460,1.209231
0.036,3.123524,3.123524,4.00,0.168385,0.139292,1.209231
0.037,3.121898,3.121898,4.00,0.170761,0.143121,1.209231
0.038,3.121937,3.121937,4.00,0.170761,0.146950,1.209231
0.039,3.114775,3.114775,4.00,0.181047,0.150769,1.209231
0.040,3.118662,3.118662,4.00,0.175549,0.154594,1.209231
0.041,3.117667,3.117667,4.00,0.177025,0.158417,1.209231
0.042,3.103607,3.103607,4.00,0.197165,0.162220,1.209231
0.043,3.092630,3.092630,4.00,0.212900,0.166007,1.209231
0.044,3.077327,3.077327,4.00,0.234815,0.169772,1.209231
0.045,3.068350,3.068350,4.00,0.247693,0.173524,1.209231
0.046,3.060506,3.060506,4.00,0.258952,0.177265,1.209231
0.047,3.044855,3.044855,4.00,0.281363,0.180984,1.209231
0.048,3.031825,3.031825,4.00,0.300031,0.184684,1.209231
0.049,3.019788,3.019788,4.00,0.317280,0.188367,1.209231
0.050,3.009268,3.009268,4.00,0.332361,0.192034,1.209231
0.051,2.991277,2.991277,4.00,0.358114,0.195676,1.209231
0.052,2.957959,2.957959,4.00,0.405763,0.199270,1.209231
0.053,2.919820,2.919820,4.00,0.460297,0.202810,1.209231
0.054,2.899888,2.899888,4.00,0.488822,0.206321,1.209231
0.055,2.878066,2.878066,4.00,0.520046,0.209801,1.209231
0.056,2.850194,2.850194,4.00,0.559913,0.213241,1.209231
0.057,2.821430,2.821430,4.00,0.601053,0.216640,1.209231
0.058,2.748432,2.748432,4.00,0.705382,0.219935,1.209231
0.059,2.710471,2.710471,4.00,0.759658,0.223175,1.209231
0.060,2.681683,2.681683,4.00,0.800830,0.226374,1.209231
0.061,2.638923,2.638923,4.00,0.861961,0.229512,1.209231
0.062,2.601539,2.601539,4.00,0.915410,0.232597,1.209231
0.063,2.486669,2.486669,4.00,1.079551,0.235517,1.209231
0.064,2.446433,2.446433,4.00,1.137073,0.238380,1.209231
0.065,2.367832,2.367832,4.00,1.249399,0.241131,1.209231
0.066,2.338136,2.338136,4.00,1.291860,0.243839,1.209231
0.067,2.290184,2.290184,4.00,1.360402,0.246479,1.209231
0.068,2.235065,2.235065,4.00,1.439179,0.249040,1.209231
0.069,2.182477,2.182477,4.00,1.514341,0.251525,1.209231
0.070,2.088035,2.088035,4.00,1.649292,0.253876,1.209231
0.071,2.036334,2.036334,4.00,1.723182,0.256153,1.209231
0.072,1.977938,1.977938,4.00,1.806637,0.258346,1.209231
0.073,1.922483,1.922483,4.00,1.885888,0.260460,1.209231
0.074,1.865203,1.865203,4.00,1.967746,0.262492,1.209231
0.075,1.732838,1.732838,4.00,2.156864,0.264336,1.209231
0.076,1.664205,1.664205,4.00,2.254936,0.266081,1.209231
0.077,1.604199,1.604199,4.00,2.340684,0.267740,1.209231
0.078,1.538539,1.538539,4.00,2.434506,0.269305,1.209231
0.079,1.472335,1.472335,4.00,2.529104,0.270776,1.209231
0.080,1.355032,1.355032,4.00,2.696698,0.272080,1.209231
0.081,1.294297,1.294297,4.00,2.783481,0.273296,1.209231
0.082,1.223601,1.223601,4.00,2.884491,0.274412,1.209231
0.083,1.144196,1.144196,4.00,2.997940,0.275414,1.209231
0.084,1.074770,1.074770,4.00,3.097133,0.276317,1.209231
0.085,0.956036,0.956036,4.00,3.266764,0.277050,1.209231
0.086,0.897059,0.897059,4.00,3.351025,0.277699,1.209231
0.087,0.832299,0.832299,4.00,3.443547,0.278255,1.209231
0.088,0.771279,0.771279,4.00,3.530726,0.278725,1.209231
0.089,0.709130,0.709130,4.00,3.619516,0.279105,1.209231
0.090,0.566056,0.566056,4.00,3.823909,0.279281,1.209231
0.091,0.507703,0.507703,4.00,3.907273,0.279374,1.209231
0.092,0.456682,0.456682,4.00,3.980160,0.279394,1.209231
0.093,0.403275,0.403275,4.00,4.056455,0.279337,1.209231
0.094,0.338986,0.338986,4.00,4.148295,0.279189,1.209231
0.095,0.200652,0.200652,4.00,4.345909,0.278843,1.209231
0.096,0.144228,0.144228,4.00,4.426508,0.278417,1.209231
0.097,0.090496,0.090496,4.00,4.503262,0.277913,1.209231
0.098,0.034718,0.034718,4.00,4.582937,0.277330,1.209231
0.099,-0.009654,0.000000,4.00,4.646316,0.276684,1.209231
0.100,-0.107653,0.000000,4.00,4.786302,0.275898,1.209231
0.101,-0.160527,0.000000,4.00,4.861825,0.275036,1.209231
0.102,-0.268613,0.000000,4.00,5.016218,0.274020,1.209231
0.103,-0.318858,0.000000,4.00,5.087982,0.272932,1.209231
0.104,-0.318869,0.000000,4.00,5.087982,0.271844,1.209231
0.105,-0.410002,0.000000,4.00,5.218154,0.270626,1.209231
0.106,-0.446884,0.000000,4.00,5.270825,0.269355,1.209231
0.107,-0.528758,0.000000,4.00,5.387768,0.267967,1.209231
0.108,-0.572713,0.000000,4.00,5.450540,0.266516,1.209231
0.109,-0.611147,0.000000,4.00,5.505424,0.265011,1.209231
0.110,-0.635957,0.000000,4.00,5.540845,0.263470,1.209231
0.111,-0.662050,0.000000,4.00,5.578098,0.261892,1.209231
0.112,-0.689264,0.000000,4.00,5.616953,0.260275,1.209231
0.113,-0.742097,0.000000,4.00,5.692405,0.258583,1.209231
0.114,-0.786889,0.000000,4.00,5.756368,0.256826,1.209231
0.115,-0.829380,0.000000,4.00,5.817043,0.255009,1.209231
0.116,-0.839976,0.000000,4.00,5.832154,0.253177,1.209231
0.117,-0.849243,0.000000,4.00,5.845366,0.251332,1.209231
0.118,-0.861746,0.000000,4.00,5.863201,0.249469,1.209231
0.119,-0.868283,0.000000,4.00,5.872512,0.247596,1.209231
0.120,-0.874584,0.000000,4.00,5.881487,0.245715,1.209231
0.121,-0.879512,0.000000,4.00,5.888500,0.243826,1.209231
0.122,-0.879425,0.000000,4.00,5.888349,0.241938,1.209231
0.123,-0.883749,0.000000,4.00,5.894499,0.240043,1.209231
0.124,-0.887533,0.000000,4.00,5.899877,0.238143,1.209231
0.125,-0.848103,0.000000,4.00,5.843523,0.236300,1.209231
0.126,-0.829980,0.000000,4.00,5.817607,0.234482,1.209231
0.127,-0.814137,0.000000,4.00,5.794949,0.232687,1.209231
0.128,-0.791490,0.000000,4.00,5.762571,0.230925,1.209231
0.129,-0.726574,0.000000,4.00,5.669809,0.229255,1.209231
0.130,-0.710535,0.000000,4.00,5.646873,0.227608,1.209231
0.131,-0.692116,0.000000,4.00,5.620537,0.225987,1.209231
0.132,-0.671615,0.000000,4.00,5.591227,0.224396,1.209231
0.133,-0.649293,0.000000,4.00,5.559316,0.222837,1.209231
0.134,-0.601165,0.000000,4.00,5.490541,0.221346,1.209231
0.135,-0.583302,0.000000,4.00,5.465001,0.219881,1.209231
0.136,-0.558888,0.000000,4.00,5.430103,0.218451,1.209231
0.137,-0.541941,0.000000,4.00,5.405874,0.217045,1.209231
0.138,-0.518329,0.000000,4.00,5.372123,0.215673,1.209231
0.139,-0.466983,0.000000,4.00,5.298752,0.214375,1.209231
0.140,-0.435200,0.000000,4.00,5.253330,0.213121,1.209231
0.141,-0.411810,0.000000,4.00,5.219899,0.211901,1.209231
0.142,-0.378166,0.000000,4.00,5.171820,0.210729,1.209231
0.143,-0.344353,0.000000,4.00,5.123499,0.209606,1.209231
0.144,-0.271891,0.000000,4.00,5.019967,0.208586,1.209231
0.145,-0.238239,0.000000,4.00,4.971879,0.207614,1.209231
0.146,-0.200020,0.000000,4.00,4.917267,0.206697,1.209231
0.147,-0.166605,0.000000,4.00,4.869519,0.205827,1.209231
0.148,-0.137389,0.000000,4.00,4.827770,0.205000,1.209231
0.149,-0.064220,0.000000,4.00,4.723232,0.204276,1.209231
0.150,-0.021481,0.000000,4.00,4.662168,0.203614,1.209231
0.151,0.024683,0.024683,4.00,4.596210,0.203018,1.209231
0.152,0.112984,0.112984,4.00,4.470059,0.202548,1.209231
0.153,0.155446,0.155446,4.00,4.409393,0.202139,1.209231
0.154,0.192573,0.192573,4.00,4.356350,0.201782,1.209231
0.155,0.229432,0.229432,4.00,4.303690,0.201478,1.209231
0.156,0.266057,0.266057,4.00,4.251364,0.201227,1.209231
0.157,0.330480,0.330480,4.00,4.159329,0.201068,1.209231
0.158,0.350010,0.350010,4.00,4.131428,0.200936,1.209231
0.159,0.367086,0.367086,4.00,4.107032,0.200829,1.209231
0.160,0.395211,0.395211,4.00,4.066853,0.200762,1.209231
0.161,0.415403,0.415403,4.00,4.038005,0.200724,1.209231
0.162,0.469935,0.469935,4.00,3.960104,0.200764,1.209231
0.163,0.498331,0.498331,4.00,3.919539,0.200845,1.209231
0.164,0.518762,0.518762,4.00,3.890354,0.200954,1.209231
0.165,0.536625,0.536625,4.00,3.864837,0.201090,1.209231
0.166,0.556643,0.556643,4.00,3.836243,0.201253,1.209231
0.167,0.610885,0.610885,4.00,3.758757,0.201495,1.209231
0.168,0.639165,0.639165,4.00,3.718361,0.201776,1.209231
0.169,0.655096,0.655096,4.00,3.695607,0.202081,1.209231
0.170,0.673423,0.673423,4.00,3.669430,0.202411,1.209231
0.171,0.698245,0.698245,4.00,3.633976,0.202777,1.209231
0.172,0.755409,0.755409,4.00,3.552320,0.203225,1.209231
0.173,0.769930,0.769930,4.00,3.531582,0.203693,1.209231
0.174,0.787025,0.787025,4.00,3.507167,0.204186,1.209231
0.175,0.815168,0.815168,4.00,3.466970,0.204719,1.209231
0.176,0.830979,0.830979,4.00,3.444392,0.205275,1.209231
0.177,0.857916,0.857916,4.00,3.405918,0.205869,1.209231
0.178,0.872755,0.872755,4.00,3.384728,0.206484,1.209231
0.179,0.894527,0.894527,4.00,3.353635,0.207131,1.209231
0.180,0.913564,0.913564,4.00,3.326449,0.207804,1.209231
0.181,0.932116,0.932116,4.00,3.299956,0.208504,1.209231
0.182,0.942033,0.942033,4.00,3.285798,0.209218,1.209231
0.183,0.959502,0.959502,4.00,3.260854,0.209957,1.209231
0.184,0.979175,0.979175,4.00,3.232760,0.210725,1.209231
0.185,0.987581,0.987581,4.00,3.220764,0.211504,1.209231
0.186,1.026082,1.026082,4.00,3.165773,0.212338,1.209231
0.187,1.037392,1.037392,4.00,3.149628,0.213189,1.209231
