time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,3.247783,3.247783,4.002827,-0.007718,0.004011,1.209775
0.002,3.250384,3.250384,4.005969,-0.007718,0.008024,1.210379
0.003,3.252984,3.252984,4.009110,-0.007718,0.012041,1.210983
0.004,3.234776,3.234776,4.012252,0.022005,0.016031,1.211587
0.005,3.230169,3.230169,4.015393,0.032297,0.020014,1.212191
0.006,3.227775,3.227775,4.018534,0.039426,0.023994,1.212795
0.007,3.230407,3.230407,4.021675,0.039375,0.027976,1.213399
0.008,3.233005,3.233005,4.024816,0.039375,0.031961,1.214003
0.009,3.235602,3.235602,4.027957,0.039375,0.035950,1.214607
0.010,3.253190,3.253190,4.031097,0.017963,0.039963,1.215211
0.011,3.262734,3.262734,4.034237,0.008043,0.043989,1.215815
0.012,3.260226,3.260226,4.037376,0.015341,0.048011,1.216419
0.013,3.256343,3.256343,4.040515,0.024600,0.052027,1.217022
0.014,3.253275,3.253275,4.043654,0.032696,0.056038,1.217626
0.015,3.255316,3.255316,4.046793,0.033491,0.060051,1.218229
0.016,3.253028,3.253028,4.049931,0.040470,0.064061,1.218833
0.017,3.272907,3.272907,4.053068,0.015787,0.068098,1.219436
0.018,3.273462,3.273462,4.056205,0.018707,0.072136,1.220039
0.019,3.278673,3.278673,4.059341,0.014977,0.076180,1.220643
0.020,3.287955,3.287955,4.062477,0.005433,0.080237,1.221246
0.021,3.296398,3.296398,4.065612,-0.002912,0.084306,1.221848
0.022,3.308573,3.300000,4.068747,-0.016588,0.088391,1.222451
0.023,3.310682,3.300000,4.071880,-0.015883,0.092479,1.223054
0.024,3.313284,3.300000,4.075014,-0.015883,0.096570,1.223656
0.025,3.315886,3.300000,4.078146,-0.015883,0.100664,1.224259
0.026,3.318488,3.300000,4.081277,-0.015883,0.104761,1.224861
0.027,3.311111,3.300000,4.084408,-0.001630,0.108847,1.225463
0.028,3.310135,3.300000,4.087538,0.003479,0.112931,1.226065
0.029,3.318404,3.300000,4.090667,-0.004620,0.117026,1.226667
0.030,3.325962,3.300000,4.093796,-0.011702,0.121132,1.227268
0.031,3.328498,3.300000,4.096923,-0.011611,0.125240,1.227870
0.032,3.335391,3.300000,4.100049,-0.017744,0.129358,1.228471
0.033,3.332996,3.300000,4.103174,-0.010610,0.133472,1.229072
0.034,3.335627,3.300000,4.106299,-0.010656,0.137589,1.229673
0.035,3.342652,3.300000,4.109422,-0.016979,0.141715,1.230273
0.036,3.344723,3.300000,4.112544,-0.016225,0.145844,1.230874
0.037,3.337657,3.300000,4.115665,-0.002422,0.149962,1.231474
0.038,3.332208,3.300000,4.118785,0.009070,0.154072,1.232074
0.039,3.327768,3.300000,4.121904,0.019117,0.158174,1.232674
0.040,3.333008,3.300000,4.125022,0.015336,0.162284,1.233273
0.041,3.342315,3.300000,4.128138,0.005746,0.166407,1.233873
0.042,3.339973,3.300000,4.131253,0.012795,0.170525,1.234472
0.043,3.353454,3.300000,4.134367,-0.002758,0.174662,1.235071
0.044,3.369966,3.300000,4.137479,-0.022640,0.178822,1.235669
0.045,3.367135,3.300000,4.140590,-0.014891,0.182978,1.236267
0.046,3.369383,3.300000,4.143700,-0.014399,0.187136,1.236865
0.047,3.362612,3.300000,4.146808,-0.001026,0.191284,1.237463
0.048,3.361679,3.300000,4.149915,0.004007,0.195430,1.238061
0.049,3.364267,3.300000,4.153020,0.004007,0.199579,1.238658
0.050,3.372572,3.300000,4.156124,-0.004159,0.203739,1.239255
0.051,3.376284,3.300000,4.159226,-0.005764,0.207904,1.239851
0.052,3.375332,3.300000,4.162327,-0.000708,0.212067,1.240448
0.053,3.370023,3.300000,4.165426,0.010568,0.216222,1.241044
0.054,3.365705,3.300000,4.168524,0.020427,0.220370,1.241639
0.055,3.362252,3.300000,4.171620,0.029047,0.224512,1.242235
0.056,3.359556,3.300000,4.174714,0.036585,0.228651,1.242830
0.057,3.379515,3.300000,4.177806,0.011759,0.232817,1.243424
0.058,3.385291,3.300000,4.180897,0.007194,0.236990,1.244019
0.059,3.380672,3.300000,4.183986,0.017477,0.241157,1.244613
0.060,3.376955,3.300000,4.187073,0.026468,0.245317,1.245206
0.061,3.378426,3.300000,4.190158,0.028046,0.249479,1.245800
0.062,3.387988,3.300000,4.193241,0.018066,0.253655,1.246393
0.063,3.410714,3.300000,4.196323,-0.010716,0.257862,1.246985
0.064,3.426509,3.300000,4.199402,-0.029598,0.262091,1.247577
0.065,3.436246,3.300000,4.202480,-0.039824,0.266333,1.248169
0.066,3.431887,3.300000,4.205555,-0.029916,0.270568,1.248761
0.067,3.440689,3.300000,4.208629,-0.038811,0.274816,1.249352
0.068,3.445214,3.300000,4.211700,-0.041596,0.279069,1.249942
0.069,3.449493,3.300000,4.214769,-0.044031,0.283328,1.250533
0.070,3.440360,3.300000,4.217837,-0.027311,0.287573,1.251122
0.071,3.437095,3.300000,4.220902,-0.018975,0.291813,1.251712
0.072,3.438897,3.300000,4.223965,-0.017880,0.296055,1.252301
0.073,3.440856,3.300000,4.227025,-0.017012,0.300299,1.252889
0.074,3.443422,3.300000,4.230084,-0.017012,0.304546,1.253478
0.075,3.445986,3.300000,4.233140,-0.017012,0.308796,1.254065
0.076,3.455798,3.300000,4.236194,-0.027367,0.313060,1.254653
0.077,3.442395,3.300000,4.239245,-0.004562,0.317304,1.255239
0.078,3.445518,3.300000,4.242294,-0.005367,0.321551,1.255826
0.079,3.439772,3.300000,4.245341,0.006494,0.325790,1.256412
0.080,3.435066,3.300000,4.248386,0.016865,0.330022,1.256997
0.081,3.435669,3.300000,4.251427,0.019650,0.334253,1.257582
0.082,3.427886,3.300000,4.254467,0.034411,0.338473,1.258167
0.083,3.443225,3.300000,4.257504,0.016142,0.342715,1.258751
0.084,3.454644,3.300000,4.260538,0.003472,0.346972,1.259334
0.085,3.454064,3.300000,4.263570,0.007939,0.351227,1.259917
0.086,3.455883,3.300000,4.266599,0.008978,0.355485,1.260500
0.087,3.455785,3.300000,4.269626,0.012754,0.359742,1.261082
0.088,3.451617,3.300000,4.272650,0.022338,0.363992,1.261663
0.089,3.452689,3.300000,4.275671,0.024435,0.368244,1.262244
