time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,2.890104,2.890104,4.00,0.500351,0.003500,1.209231
0.002,2.893186,2.893186,4.00,0.496448,0.007003,1.209231
0.003,2.878330,2.878330,4.00,0.518169,0.010485,1.209231
0.004,2.865383,2.865383,4.00,0.537159,0.013948,1.209231
0.005,2.864830,2.864830,4.00,0.538445,0.017409,1.209231
0.006,2.862462,2.862462,4.00,0.542321,0.020867,1.209231
0.007,2.860435,2.860435,4.00,0.545711,0.024321,1.209231
0.008,2.849831,2.849831,4.00,0.561350,0.027760,1.209231
0.009,2.850403,2.850403,4.00,0.561024,0.031199,1.209231
0.010,2.854418,2.854418,4.00,0.555780,0.034643,1.209231
0.011,2.849175,2.849175,4.00,0.563761,0.038079,1.209231
0.012,2.849032,2.849032,4.00,0.564456,0.041515,1.209231
0.013,2.853349,2.853349,4.00,0.558781,0.044956,1.209231
0.014,2.831071,2.831071,4.00,0.591093,0.048365,1.209231
0.015,2.833330,2.833330,4.00,0.588354,0.051777,1.209231
0.016,2.830949,2.830949,4.00,0.592242,0.055185,1.209231
0.017,2.828910,2.828910,4.00,0.595641,0.058589,1.209231
0.018,2.831569,2.831569,4.00,0.592330,0.061997,1.209231
0.019,2.843953,2.843953,4.00,0.575127,0.065421,1.209231
0.020,2.849208,2.849208,4.00,0.568111,0.068853,1.209231
0.021,2.845048,2.845048,4.00,0.574542,0.072279,1.209231
0.022,2.837055,2.837055,4.00,0.586449,0.075692,1.209231
0.023,2.834507,2.834507,4.00,0.590576,0.079102,1.209231
0.024,2.838910,2.838910,4.00,0.584774,0.082517,1.209231
0.025,2.840614,2.840614,4.00,0.582828,0.085934,1.209231
0.026,2.837747,2.837747,4.00,0.587410,0.089347,1.209231
0.027,2.835284,2.835284,4.00,0.591417,0.092755,1.209231
0.028,2.835625,2.835625,4.00,0.591417,0.096164,1.209231
0.029,2.834662,2.834662,4.00,0.593279,0.099571,1.209231
0.030,2.819175,2.819175,4.00,0.615887,0.102955,1.209231
0.031,2.810416,2.810416,4.00,0.628881,0.106326,1.209231
0.032,2.807198,2.807198,4.00,0.633959,0.109692,1.209231
0.033,2.795628,2.795628,4.00,0.650966,0.113041,1.209231
0.034,2.780850,2.780850,4.00,0.672553,0.116368,1.209231
0.035,2.777071,2.777071,4.00,0.678426,0.119690,1.209231
0.036,2.773807,2.773807,4.00,0.683562,0.123006,1.209231
0.037,2.766597,2.766597,4.00,0.694335,0.126312,1.209231
0.038,2.755934,2.755934,4.00,0.710038,0.129602,1.209231
0.039,2.738247,2.738247,4.00,0.735771,0.132866,1.209231
0.040,2.718029,2.718029,4.00,0.765116,0.136101,1.209231
0.041,2.700389,2.700389,4.00,0.790774,0.139310,1.209231
0.042,2.685005,2.685005,4.00,0.813207,0.142497,1.209231
0.043,2.658395,2.658395,4.00,0.851671,0.145646,1.209231
0.044,2.622824,2.622824,4.00,0.902929,0.148743,1.209231
0.045,2.612897,2.612897,4.00,0.917551,0.151825,1.209231
0.046,2.591057,2.591057,4.00,0.949186,0.154876,1.209231
0.047,2.567599,2.567599,4.00,0.983129,0.157893,1.209231
0.048,2.551523,2.551523,4.00,1.006523,0.160886,1.209231
0.049,2.511232,2.511232,4.00,1.064500,0.163822,1.209231
0.050,2.480312,2.480312,4.00,1.109085,0.166713,1.209231
0.051,2.462108,2.462108,4.00,1.135500,0.169577,1.209231
0.052,2.433028,2.433028,4.00,1.177446,0.172400,1.209231
0.053,2.398837,2.398837,4.00,1.226687,0.175173,1.209231
0.054,2.292446,2.292446,4.00,1.379048,0.177794,1.209231
0.055,2.258375,2.258375,4.00,1.428088,0.180366,1.209231
0.056,2.224215,2.224215,4.00,1.477248,0.182889,1.209231
0.057,2.159820,2.159820,4.00,1.569589,0.185319,1.209231
0.058,2.138095,2.138095,4.00,1.600967,0.187718,1.209231
0.059,2.105930,2.105930,4.00,1.647252,0.190071,1.209231
0.060,2.077833,2.077833,4.00,1.687721,0.192383,1.209231
0.061,2.044495,2.044495,4.00,1.735671,0.194647,1.209231
0.062,1.960021,1.960021,4.00,1.856654,0.196791,1.209231
0.063,1.923933,1.923933,4.00,1.908508,0.198882,1.209231
0.064,1.879205,1.879205,4.00,1.972695,0.200910,1.209231
0.065,1.835718,1.835718,4.00,2.035099,0.202874,1.209231
0.066,1.793317,1.793317,4.00,2.095945,0.204778,1.209231
0.067,1.685766,1.685766,4.00,2.249838,0.206529,1.209231
0.068,1.627044,1.627044,4.00,2.333964,0.208195,1.209231
0.069,1.566918,1.566918,4.00,2.420085,0.209775,1.209231
0.070,1.468267,1.468267,4.00,2.561220,0.211213,1.209231
0.071,1.406117,1.406117,4.00,2.650199,0.212563,1.209231
0.072,1.342988,1.342988,4.00,2.740563,0.213823,1.209231
0.073,1.279003,1.279003,4.00,2.832138,0.214990,1.209231
0.074,1.218665,1.218665,4.00,2.918488,0.216072,1.209231
0.075,1.078477,1.078477,4.00,3.118883,0.216953,1.209231
0.076,1.016945,1.016945,4.00,3.206899,0.217746,1.209231
0.077,0.958749,0.958749,4.00,3.290138,0.218456,1.209231
0.078,0.763220,0.763220,4.00,3.569527,0.218887,1.209231
0.079,0.692902,0.692902,4.00,3.670028,0.219217,1.209231
0.080,0.635814,0.635814,4.00,3.751617,0.219465,1.209231
0.081,0.516390,0.516390,4.00,3.922235,0.219543,1.209231
0.082,0.455073,0.455073,4.00,4.009830,0.219533,1.209231
0.083,0.392655,0.392655,4.00,4.098983,0.219434,1.209231
0.084,0.329274,0.329274,4.00,4.189500,0.219244,1.209231
0.085,0.265050,0.265050,4.00,4.281208,0.218963,1.209231
0.086,0.138914,0.138914,4.00,4.461337,0.218502,1.209231
0.087,0.080983,0.080983,4.00,4.544018,0.217958,1.209231
0.088,0.030318,0.030318,4.00,4.616309,0.217341,1.209231
0.089,-0.013995,0.000000,4.00,4.679516,0.216662,1.209231
0.090,-0.048354,0.000000,4.00,4.728497,0.215933,1.209231
0.091,-0.129359,0.000000,4.00,4.844097,0.215089,1.209231
0.092,-0.171250,0.000000,4.00,4.903812,0.214186,1.209231
0.093,-0.216691,0.000000,4.00,4.968589,0.213217,1.209231
0.094,-0.252040,0.000000,4.00,5.018943,0.212198,1.209231
0.095,-0.282965,0.000000,4.00,5.062969,0.211135,1.209231
0.096,-0.345675,0.000000,4.00,5.152390,0.209983,1.209231
0.097,-0.378069,0.000000,4.00,5.198496,0.208784,1.209231
0.098,-0.402013,0.000000,4.00,5.232525,0.207552,1.209231
0.099,-0.431764,0.000000,4.00,5.274845,0.206277,1.209231
0.100,-0.448998,0.000000,4.00,5.299280,0.204978,1.209231
0.101,-0.481562,0.000000,4.00,5.345607,0.203632,1.209231
0.102,-0.501376,0.000000,4.00,5.373716,0.202258,1.209231
0.103,-0.528100,0.000000,4.00,5.411693,0.200847,1.209231
0.104,-0.537708,0.000000,4.00,5.425214,0.199421,1.209231
0.105,-0.546127,0.000000,4.00,5.437036,0.197984,1.209231
0.106,-0.544710,0.000000,4.00,5.434807,0.196549,1.209231
0.107,-0.526358,0.000000,4.00,5.408388,0.195141,1.209231
0.108,-0.518660,0.000000,4.00,5.397192,0.193744,1.209231
0.109,-0.503149,0.000000,4.00,5.374837,0.192369,1.209231
0.110,-0.480804,0.000000,4.00,5.342724,0.191026,1.209231
0.111,-0.474478,0.000000,4.00,5.333496,0.189693,1.209231
0.112,-0.455779,0.000000,4.00,5.306597,0.188386,1.209231
0.113,-0.443830,0.000000,4.00,5.289343,0.187097,1.209231
0.114,-0.433398,0.000000,4.00,5.274257,0.185823,1.209231
0.115,-0.415493,0.000000,4.00,5.248500,0.184574,1.209231
